@relation ZXCV1346.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute flightTime7 numeric
@attribute dwellTime7 numeric
@attribute flightTime8 numeric
@attribute dwellTime8 numeric
@attribute flightTime9 numeric
@attribute dwellTime9 numeric
@attribute class {accepted,denied}

@data
248,129,-59,188,-75,130,-57,136,153,124,216,128,-43,110,92,100,-51,108,0,83,accepted
227,130,-65,169,-66,160,-44,117,158,95,247,137,-41,112,96,97,-39,91,0,67,accepted
200,132,-75,182,-79,167,-61,131,130,122,116,121,-43,121,80,100,-37,111,0,76,accepted
% Denied data: variations of the originals
517,155,-153,124,31,233,-14,210,-497,87,-24,101,-29,178,54,75,-24,170,0,68,denied
572,161,-158,122,-157,128,-14,209,-457,88,693,177,-31,174,145,142,-25,170,0,60,denied
503,153,-134,134,27,230,-17,204,807,148,650,173,-32,172,44,68,-86,75,0,63,denied
534,157,-150,126,25,229,-8,219,-580,83,-31,100,-32,173,49,71,-86,74,0,117,denied
-4,93,74,238,-173,120,-11,214,-584,82,-132,89,-31,173,53,74,-30,161,0,65,denied
564,160,-132,135,-181,115,-82,100,964,155,616,169,-36,165,43,67,-30,161,0,120,denied
8,94,-156,123,35,235,-6,223,-453,89,595,167,-73,100,138,137,-24,171,0,70,denied
-6,93,59,231,22,228,-84,97,-467,88,-78,95,-33,171,57,77,-23,172,0,125,denied
61,101,-152,125,14,223,-7,221,845,150,631,171,-71,104,145,142,-85,77,0,69,denied
71,102,73,238,-154,130,-83,99,-486,87,610,168,-69,107,144,141,-28,164,0,61,denied
523,155,-170,116,37,236,-86,95,-387,92,673,175,-33,170,57,77,-83,79,0,65,denied
534,157,50,226,-183,114,-16,207,-543,84,-87,94,-33,170,140,138,-32,158,0,118,denied
575,162,66,234,27,230,-16,207,-470,88,601,168,-75,98,54,75,-23,172,0,122,denied
497,152,-162,120,7,219,-5,224,-365,93,-118,91,-36,166,48,71,-28,164,0,64,denied
34,98,82,242,17,225,-88,92,897,152,614,169,-71,104,150,146,-25,170,0,122,denied
526,156,-135,133,-174,119,-8,219,810,148,700,178,-76,96,150,146,-22,174,0,70,denied
557,160,85,244,-181,115,-88,91,-415,90,726,181,-31,175,147,143,-82,81,0,69,denied
501,153,-134,134,41,238,-6,223,-459,88,-66,96,-34,169,148,144,-30,161,0,67,denied
561,160,52,227,-176,118,-13,212,1028,158,610,169,-75,97,143,140,-86,74,0,60,denied
27,97,52,227,39,237,-5,225,-467,88,644,172,-70,106,155,149,-27,167,0,62,denied
-22,91,-146,128,-169,122,-81,103,998,157,611,169,-35,166,154,149,-24,171,0,66,denied
488,151,64,233,21,227,-83,99,-553,84,686,177,-69,108,49,72,-78,87,0,64,denied
532,157,-152,125,-158,128,-8,219,1000,157,703,178,-30,176,47,70,-86,74,0,66,denied
-19,91,70,236,-158,128,-14,209,926,153,-137,89,-33,170,141,139,-86,75,0,66,denied
555,159,58,230,-161,126,-11,214,-504,86,-133,89,-73,100,138,137,-29,162,0,125,denied
565,161,73,238,-157,128,-84,97,-406,91,-92,94,-73,100,153,148,-86,75,0,120,denied
530,156,-173,114,13,223,-11,215,885,151,-120,91,-75,97,152,147,-81,82,0,122,denied
-20,91,-157,122,-150,132,-12,213,879,151,653,173,-36,165,155,149,-24,170,0,122,denied
-6,93,-158,122,11,221,-9,218,1033,158,-37,99,-32,172,55,75,-23,172,0,68,denied
23,96,-135,133,-180,116,-89,90,817,148,601,168,-74,98,59,79,-32,159,0,125,denied
558,160,72,237,-155,129,-4,225,859,150,632,171,-69,108,141,139,-32,158,0,60,denied
55,100,-145,128,10,221,-8,220,901,152,657,174,-73,101,53,75,-78,88,0,122,denied
572,161,82,242,-155,130,-8,220,850,150,-84,94,-29,177,150,145,-29,163,0,124,denied
536,157,45,224,6,219,-4,225,-499,86,639,172,-35,167,48,71,-77,89,0,120,denied
58,100,-135,133,31,232,-86,95,-425,90,587,166,-69,107,153,148,-29,164,0,69,denied
3,94,80,241,25,229,-80,104,1028,158,582,166,-29,177,140,139,-26,168,0,125,denied
68,101,-146,128,36,235,-16,206,-425,90,-137,89,-72,102,155,149,-84,78,0,121,denied
17,95,53,228,-173,119,-16,206,-482,87,730,181,-71,105,152,147,-28,165,0,65,denied
559,160,83,243,15,224,-82,101,988,156,592,167,-34,170,51,73,-30,162,0,63,denied
497,152,76,239,-158,128,-87,93,-416,90,-77,95,-34,169,141,139,-25,169,0,62,denied
16,95,-155,123,-150,132,-5,224,1018,158,-52,98,-70,106,154,149,-25,169,0,63,denied
1,94,-152,125,40,237,-81,103,-495,87,-84,94,-71,104,54,75,-77,89,0,120,denied
-22,91,-150,126,-166,123,-16,206,-426,90,-18,101,-75,97,155,149,-78,87,0,118,denied
580,162,76,239,36,236,-87,93,-377,92,-36,100,-30,176,46,69,-79,86,0,65,denied
32,97,-161,120,42,239,-6,223,921,153,680,176,-34,169,153,148,-24,171,0,120,denied
56,100,54,228,-168,122,-91,87,872,151,-80,95,-72,103,50,72,-87,74,0,63,denied
52,100,49,226,11,221,-12,213,824,149,-122,90,-33,171,44,68,-31,160,0,115,denied
22,96,-167,117,-146,134,-84,97,893,152,714,180,-74,99,59,79,-83,80,0,121,denied
74,102,49,226,29,231,-86,94,-431,90,-47,98,-32,172,48,70,-79,86,0,115,denied
546,158,-138,132,-180,116,-9,218,914,153,-84,94,-30,176,142,140,-78,88,0,119,denied
25,96,49,226,10,221,-81,102,943,154,588,166,-29,178,48,71,-26,168,0,122,denied
0,93,73,238,-152,131,-4,225,933,154,-142,88,-30,175,58,78,-26,167,0,64,denied
500,153,68,235,-152,131,-6,222,-376,92,-81,95,-32,172,59,78,-24,171,0,115,denied
33,97,79,241,-180,115,-15,208,802,148,720,180,-70,105,47,70,-30,162,0,70,denied
577,162,60,231,-172,120,-89,90,1018,158,-127,90,-32,173,155,149,-79,86,0,123,denied
498,153,57,230,11,221,-16,207,888,152,-38,99,-29,177,53,74,-29,164,0,70,denied
51,99,-146,128,27,230,-87,93,-456,89,-87,94,-74,98,149,145,-24,170,0,124,denied
-13,92,-133,134,33,234,-82,101,-474,88,-97,93,-73,100,147,143,-28,165,0,121,denied
1,94,-139,131,11,221,-10,215,-483,87,646,172,-35,167,53,75,-30,162,0,121,denied
500,153,55,229,6,219,-14,210,-495,87,707,179,-76,95,58,78,-24,171,0,66,denied
0,93,72,237,24,229,-5,225,-476,88,591,167,-32,173,140,139,-28,164,0,60,denied
544,158,-167,117,39,237,-90,88,770,146,-91,94,-35,167,141,139,-86,75,0,122,denied
547,158,-155,123,32,233,-13,211,906,152,636,171,-31,174,57,77,-86,74,0,119,denied
49,99,-152,125,28,231,-14,209,-523,85,583,166,-31,175,43,67,-24,170,0,70,denied
44,99,-144,129,12,222,-18,203,-476,88,731,181,-29,178,138,137,-82,81,0,66,denied
39,98,72,237,-163,125,-86,95,818,148,-89,94,-71,104,51,73,-26,168,0,122,denied
67,101,74,238,21,227,-15,208,1015,158,729,181,-29,177,46,69,-22,174,0,60,denied
75,102,85,244,7,219,-14,209,-387,92,-106,92,-73,100,44,67,-26,168,0,115,denied
22,96,87,245,-171,120,-15,209,808,148,-87,94,-36,166,146,143,-80,84,0,60,denied
579,162,-154,124,35,235,-79,106,-502,86,-162,86,-31,174,146,143,-80,84,0,60,denied
526,156,-149,126,18,225,-88,91,-588,82,-55,97,-36,166,45,68,-31,160,0,125,denied
36,98,-152,125,-161,126,-86,95,922,153,-71,96,-70,106,45,68,-79,86,0,119,denied
574,162,-174,114,-175,118,-83,99,-492,87,636,171,-29,178,147,144,-79,85,0,66,denied
14,95,-142,130,28,231,-91,87,-451,89,639,172,-72,103,46,69,-78,87,0,69,denied
55,100,-153,124,12,222,-4,226,804,148,-156,87,-35,166,55,75,-82,81,0,70,denied
579,162,-157,122,39,237,-92,86,1023,158,-20,101,-34,170,46,69,-22,173,0,122,denied
23,96,-171,115,-159,127,-87,92,861,150,653,173,-35,167,155,150,-31,160,0,65,denied
75,102,-160,121,-179,116,-85,97,-586,82,628,170,-31,174,44,68,-86,75,0,120,denied
491,152,57,230,15,224,-85,97,-510,86,669,175,-69,108,145,142,-80,84,0,121,denied
513,154,59,231,-180,116,-93,83,984,156,625,170,-35,168,53,74,-86,75,0,64,denied
506,154,78,240,17,225,-91,86,-490,87,-32,100,-73,100,48,70,-87,74,0,63,denied
20,96,61,232,-149,133,-80,104,984,156,-106,92,-74,100,141,139,-79,85,0,125,denied
487,151,50,226,-151,132,-81,103,-587,82,648,173,-34,169,55,76,-22,174,0,67,denied
523,156,-160,121,43,239,-15,208,-423,90,-89,94,-30,176,54,75,-87,73,0,123,denied
530,156,-137,132,15,224,-81,102,894,152,675,175,-30,177,154,149,-84,78,0,123,denied
22,96,-145,128,38,236,-18,204,866,151,-46,98,-35,167,52,74,-23,172,0,64,denied
482,151,-136,133,-154,130,-15,209,1006,157,608,168,-73,100,140,138,-25,169,0,67,denied
23,96,57,230,-152,131,-93,84,851,150,724,181,-36,166,142,140,-86,74,0,62,denied
520,155,-148,127,-158,127,-14,210,971,156,-167,86,-34,169,52,73,-80,85,0,64,denied
559,160,54,228,7,219,-92,85,820,148,590,166,-32,173,56,77,-83,79,0,67,denied
7,94,-138,132,25,229,-12,212,796,147,628,170,-29,178,51,73,-26,167,0,63,denied
-3,93,63,233,37,236,-6,223,803,148,-82,95,-70,107,142,140,-85,77,0,125,denied
-5,93,72,237,6,219,-87,92,924,153,608,168,-75,97,144,141,-84,77,0,121,denied
529,156,-137,132,-167,122,-15,208,-620,81,-74,95,-69,108,151,147,-86,75,0,115,denied
575,162,-141,130,13,223,-81,102,-598,82,-145,88,-73,100,56,77,-79,86,0,123,denied
-1,93,-137,132,-166,123,-13,212,-421,90,-45,99,-35,168,47,70,-24,171,0,62,denied
574,162,78,240,-148,133,-81,103,818,148,729,181,-36,165,156,150,-27,165,0,60,denied
485,151,-143,129,-147,134,-79,106,774,146,721,180,-70,105,140,138,-25,169,0,115,denied
505,153,63,233,31,233,-17,204,881,151,-52,98,-73,101,153,148,-84,78,0,61,denied
520,155,-162,120,-165,124,-9,217,922,153,-60,97,-72,103,55,76,-81,82,0,122,denied
