@relation BillNyeTheTestingGuy1.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute backspaceCount numeric
@attribute class {accepted,denied,attackerHumanMade}

@data
41,178,498,137,860,207,-102,55,115,136,127,176,0,87,0,denied
-102,79,433,128,739,192,125,107,-182,76,140,182,0,91,0,denied
31,171,-236,39,-53,97,117,105,-175,77,129,177,0,145,0,denied
28,169,-190,45,14,106,105,103,-176,77,-54,92,0,150,0,denied
41,178,503,137,-78,94,130,108,-158,80,-71,85,0,146,0,denied
-109,74,-304,30,752,194,138,110,163,146,130,177,0,88,0,denied
-93,85,398,123,7,105,112,104,123,138,114,170,0,87,0,denied
-93,85,394,123,-125,89,121,106,-151,82,-70,85,0,145,0,denied
-117,69,-223,40,828,203,131,109,136,140,115,170,0,145,0,denied
-90,87,409,125,6,105,-78,61,121,137,124,174,0,151,0,denied
42,179,-188,45,786,198,106,103,137,141,-50,94,0,157,0,denied
38,176,-230,39,-62,96,-91,58,-145,83,132,178,0,88,0,denied
42,179,399,123,710,189,-111,53,145,142,-50,94,0,151,0,denied
-114,71,-186,45,3,104,-98,56,-172,78,-65,87,0,150,0,denied
-111,73,498,137,778,197,129,108,-157,81,139,182,0,91,0,denied
27,168,376,120,-44,99,-96,57,-142,84,-67,86,0,145,0,denied
44,180,408,125,-23,101,114,105,137,141,140,182,0,152,0,denied
-90,87,478,134,788,198,122,107,-151,82,121,173,0,86,0,denied
41,178,-261,35,-42,99,-73,62,144,142,107,167,0,148,0,denied
-106,76,-178,46,-50,98,138,110,-160,80,113,169,0,92,0,denied
-111,73,426,127,-39,99,-97,57,-144,83,-41,98,0,87,0,denied
49,184,501,137,-66,96,-94,57,128,139,-58,90,0,85,0,denied
46,181,-172,47,749,193,-93,57,-177,77,-57,91,0,152,0,denied
37,175,374,120,8,105,142,111,-148,83,132,178,0,83,0,denied
52,186,421,126,751,194,-108,54,119,137,-53,93,0,88,0,denied
-101,79,-250,37,-93,93,-88,59,-140,84,132,178,0,80,0,denied
27,168,492,136,707,189,-100,56,-161,80,126,176,0,149,0,denied
28,169,-224,40,-97,92,-97,57,142,142,-67,86,0,86,0,denied
38,176,-250,37,797,199,125,107,112,136,-65,87,0,88,0,denied
-106,76,-208,42,-60,97,129,108,-136,85,111,169,0,86,0,denied
38,176,383,121,-17,102,128,108,-124,87,-65,87,0,153,0,denied
50,184,-174,47,737,192,112,104,145,142,125,175,0,82,0,denied
-114,71,-235,39,-63,96,132,109,124,138,109,168,0,153,0,denied
27,169,482,135,10,105,-101,56,151,144,-65,87,0,154,0,denied
-103,78,457,131,854,206,-106,54,155,144,126,175,0,152,0,denied
32,172,374,120,-81,94,130,108,-138,85,-44,97,0,149,0,denied
-116,69,439,129,767,196,-85,59,-136,85,141,183,0,83,0,denied
48,183,405,124,-32,100,-80,60,-149,82,-62,89,0,151,0,denied
-116,69,-197,44,-134,88,106,103,-143,84,142,183,0,92,0,denied
-92,86,-253,36,781,197,125,107,-130,86,131,178,0,88,0,denied
39,177,-234,39,-78,94,119,106,-149,82,135,180,0,91,0,denied
-90,87,-275,33,833,204,123,107,-131,86,-46,96,0,146,0,denied
-116,69,-281,33,-134,88,-98,56,-147,83,-54,92,0,155,0,denied
-91,86,-291,31,-111,90,-88,59,-167,79,117,171,0,154,0,denied
-108,75,-229,40,-113,90,136,110,138,141,-52,93,0,87,0,denied
-96,83,-235,39,838,204,133,109,167,147,-51,94,0,89,0,denied
31,172,460,132,-128,88,129,108,154,144,-62,88,0,155,0,denied
-116,69,423,127,-77,94,-88,59,-162,80,119,172,0,83,0,denied
33,173,370,120,778,197,-109,54,169,147,-75,82,0,83,0,denied
%Attacker Human made data
-16,135,-16,120,-24,152,23,113,152,120,-40,152,0,169,0,attackerHumanMade
-23,152,24,104,-24,152,-23,143,72,103,-64,168,0,176,0,attackerHumanMade
15,144,24,96,33,143,-23,127,71,112,-15,168,0,143,0,attackerHumanMade
-23,144,17,158,-16,143,-16,152,89,96,-47,175,0,159,0,attackerHumanMade
-17,143,40,105,-16,144,17,119,88,88,-39,160,0,159,0,attackerHumanMade
-32,128,-15,120,-16,143,24,111,57,80,-57,161,0,168,0,attackerHumanMade
-23,127,24,96,-23,135,16,112,73,95,-39,192,0,158,0,attackerHumanMade
-24,159,-14,127,-13,134,992,109,55,113,-79,184,0,167,0,attackerHumanMade
-31,128,16,111,15,161,17,104,49,95,-47,199,0,160,0,attackerHumanMade
-41,136,-16,136,16,145,65,135,49,184,-54,174,0,158,0,attackerHumanMade
-24,135,17,119,-32,136,31,120,42,104,-39,174,0,160,0,attackerHumanMade
-40,144,24,112,-24,175,32,138,57,111,-48,167,0,167,0,attackerHumanMade
-15,160,79,191,16,145,41,160,72,175,-55,183,0,152,0,attackerHumanMade
-25,145,17,112,81,151,16,126,65,113,-40,167,0,160,0,attackerHumanMade
-24,145,66,95,25,159,56,127,57,159,16,176,0,104,0,attackerHumanMade
-23,135,361,111,32,152,49,144,64,111,-56,184,0,167,0,attackerHumanMade
-46,158,74,158,111,168,-16,144,74,128,-49,158,0,161,0,attackerHumanMade
32,133,168,152,24,136,56,160,74,128,-40,158,0,168,0,attackerHumanMade
-16,144,89,126,73,280,-23,127,65,127,-71,167,0,167,0,attackerHumanMade
-30,134,72,160,264,119,41,105,56,127,-55,191,0,167,0,attackerHumanMade
-16,160,168,143,16,177,32,112,64,127,-72,184,0,168,0,attackerHumanMade
-72,128,32,112,-22,127,97,150,66,135,-56,159,0,159,0,attackerHumanMade
-16,153,73,184,25,143,16,151,81,104,-39,159,0,166,0,attackerHumanMade
-31,151,265,127,24,128,24,119,64,89,-55,160,0,167,0,attackerHumanMade
-64,160,152,136,25,136,-21,134,40,109,-64,185,0,184,0,attackerHumanMade
-31,158,153,111,280,136,56,159,73,120,-39,183,0,167,0,attackerHumanMade
-24,150,200,120,33,225,-23,143,49,119,-63,150,0,176,0,attackerHumanMade
-31,136,153,167,23,135,17,145,48,95,-56,192,0,176,0,attackerHumanMade
48,136,25,168,40,150,25,128,79,104,-32,153,0,168,0,attackerHumanMade
24,136,-39,152,17,151,33,126,57,119,-48,160,0,176,0,attackerHumanMade
-40,136,25,152,25,150,129,160,72,127,-56,160,0,184,0,attackerHumanMade
40,119,-8,88,56,112,8,80,-15,96,-16,127,0,64,0,attackerHumanMade
81,96,8,87,63,89,-7,64,8,111,-23,120,0,79,0,attackerHumanMade
48,104,8,80,264,112,40,80,0,88,-32,144,0,72,0,attackerHumanMade
128,96,24,80,56,88,0,80,0,80,-24,128,0,72,0,attackerHumanMade
128,96,8,88,40,104,-32,72,103,80,520,81,0,112,0,attackerHumanMade
23,88,-7,80,40,104,-16,72,-7,79,-23,127,0,88,0,attackerHumanMade
57,103,24,80,8,103,0,89,-23,103,-24,127,0,88,0,attackerHumanMade
32,111,8,80,24,112,-24,80,0,88,-24,120,0,72,0,attackerHumanMade
32,96,88,104,8,136,32,72,-16,104,-32,152,0,88,0,attackerHumanMade
39,72,8,89,24,112,-8,88,8,88,-48,128,0,96,0,attackerHumanMade
32,120,-23,79,1729,168,-56,88,-17,80,-7,128,0,64,2,attackerHumanMade
64,96,-9,80,49,96,-32,71,-17,81,-32,128,0,72,0,attackerHumanMade
56,103,-8,72,48,112,-32,80,-16,80,-33,129,0,80,0,attackerHumanMade
0,104,8,72,752,104,8,64,-32,88,9,136,0,63,1,attackerHumanMade
16,80,96,96,48,112,0,80,0,81,1568,79,0,64,2,attackerHumanMade
9,95,-7,79,7,96,-32,90,0,64,-23,111,0,72,0,attackerHumanMade
72,79,791,97,-9,113,89,72,25,71,-47,111,0,103,0,attackerHumanMade
73,111,-16,87,32,96,8,96,-24,80,153,104,0,55,0,attackerHumanMade
32,88,0,97,16,103,-23,72,-8,87,-32,128,0,72,0,attackerHumanMade
49,128,-16,79,16,120,136,80,-16,80,8,112,0,56,0,attackerHumanMade
64,112,-8,72,15,120,-16,81,-24,104,-32,144,0,80,0,attackerHumanMade
48,96,-16,80,49,111,72,64,-24,96,-15,127,0,72,0,attackerHumanMade
56,95,72,80,0,104,1,72,-16,103,-32,120,0,88,0,attackerHumanMade
8,96,32,72,16,96,-8,64,-24,112,-8,112,0,80,0,attackerHumanMade
0,96,-8,72,24,96,-24,72,-32,112,-32,104,0,,104,0,attackerHumanMade
32,112,32,72,0,112,-8,80,0,88,-40,128,0,104,0,attackerHumanMade
56,112,40,81,48,136,31,80,-7,88,-47,127,0,104,0,attackerHumanMade
65,120,23,64,8,112,-31,72,-24,87,-40,129,0,103,0,attackerHumanMade
32,112,0,73,9,176,8,71,120,136,-112,96,0,144,0,attackerHumanMade
8,88,16,72,16,112,-24,72,-24,104,-32,112,0,96,0,attackerHumanMade
0,112,16,72,31,121,-8,56,16,72,-8,72,0,80,0,attackerHumanMade
16,104,16,64,7,104,-8,81,-32,88,-7,103,0,72,0,attackerHumanMade
-16,96,15,72,24,97,-24,80,-7,79,-24,120,0,88,0,attackerHumanMade
72,105,24,71,-24,145,-7,71,359,104,-7,112,0,55,0,attackerHumanMade
33,111,23,80,0,137,8,79,80,112,536,112,0,112,0,attackerHumanMade
24,104,-8,80,16,136,-24,72,-15,128,-24,127,0,96,0,attackerHumanMade
24,120,8,72,8,120,-16,72,-32,120,1,112,0,79,0,attackerHumanMade
40,112,0,64,24,184,32,64,-32,104,-16,136,0,72,0,attackerHumanMade
