@relation BillNyeTheTestingGuy3.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute flightTime7 numeric
@attribute dwellTime7 numeric
@attribute class {accepted,denied}

@data
144,88,8,136,-1,129,-24,96,40,104,128,112,-1317,96,0,1787,accepted
120,120,-24,136,24,120,-40,104,49,96,192,103,-1313,96,0,1792,accepted
152,96,-25,121,32,112,-33,113,40,104,136,120,-1303,104,0,1764,accepted
128,104,-31,144,16,127,-47,120,64,95,176,120,-1281,80,0,1807,accepted
160,95,-32,128,32,112,-32,104,72,112,136,112,-1266,80,0,2089,accepted
136,87,-7,136,16,111,-23,88,16,127,119,113,-1849,96,0,2103,accepted
137,95,41,143,16,112,-15,95,17,103,137,127,-1381,95,0,1923,accepted
153,87,-31,143,24,127,-31,104,41,111,152,128,-1322,95,0,2984,accepted
120,88,-7,127,8,120,-16,104,16,104,120,128,-1262,112,0,1724,accepted
200,56,-49,129,40,136,-40,112,56,104,120,144,-1337,104,0,1769,accepted
152,112,-46,126,88,120,-72,112,170,79,224,127,-1510,64,0,2636,accepted
120,104,-24,160,16,120,24,88,32,64,112,144,-1309,112,0,2394,accepted
128,95,-8,120,16,112,1,104,32,95,136,136,-1387,112,0,2048,accepted
129,79,-8,135,16,112,-7,104,24,103,113,136,-1252,79,0,1777,accepted
145,79,-16,119,8,128,-7,104,24,87,121,120,-1277,95,0,1720,accepted
129,95,-23,127,32,111,-7,104,25,87,113,135,-1241,103,0,1702,accepted
% Denied data: variations of the originals
-232,59,64,164,-224,98,-77,66,97,124,212,150,-534,119,0,1131,denied
-195,61,71,167,-215,99,-68,71,106,128,75,89,-417,122,0,2938,denied
562,117,58,162,-249,96,-74,68,111,130,206,147,-2175,72,0,1082,denied
-341,51,-84,100,-254,96,44,130,113,131,68,86,-561,118,0,809,denied
645,123,-68,106,345,138,-65,73,-21,69,209,148,-2252,70,0,3202,denied
-181,62,-68,106,359,139,-68,71,-33,64,196,143,-486,120,0,757,denied
642,123,-84,99,-272,95,-67,72,111,131,71,87,-2264,69,0,3301,denied
561,117,73,168,-235,97,41,128,-24,68,59,82,-2451,64,0,3161,denied
691,127,81,172,350,138,-85,62,-22,69,209,149,-2334,67,0,1020,denied
645,123,-87,98,-222,98,38,127,-24,68,77,90,-475,120,0,1069,denied
539,116,59,162,-232,98,-88,61,-14,72,60,82,-403,122,0,966,denied
-208,60,54,160,321,136,-70,70,96,124,84,93,-622,116,0,3030,denied
628,122,83,172,-226,98,36,126,117,133,66,85,-549,118,0,1110,denied
-292,54,64,164,-178,101,47,131,-11,74,209,148,-425,122,0,3111,denied
678,126,60,163,314,136,48,132,-13,73,218,152,-2247,70,0,3095,denied
552,117,-77,103,327,137,-88,61,-30,65,216,152,-403,122,0,3091,denied
590,119,57,161,320,136,40,128,107,129,195,142,-673,115,0,1016,denied
699,127,62,163,-284,94,-88,61,96,124,81,91,-744,113,0,816,denied
605,120,67,165,328,137,49,132,-28,66,202,145,-2353,67,0,3190,denied
-332,51,-83,100,-202,100,-74,68,116,133,219,153,-2350,67,0,1068,denied
-282,55,-73,104,-178,101,-69,70,-14,72,70,87,-2381,66,0,1144,denied
635,123,-92,96,-196,100,-85,62,113,131,78,90,-2306,68,0,1057,denied
547,116,71,167,-182,101,-81,64,-24,68,74,88,-506,119,0,3359,denied
695,127,73,168,-284,94,41,128,-23,68,77,90,-2179,72,0,3014,denied
626,122,-87,98,-240,97,54,135,109,130,80,91,-2328,67,0,3082,denied
620,122,58,162,300,135,38,127,105,128,81,92,-2174,72,0,3076,denied
-232,59,67,166,290,134,41,128,-24,68,71,87,-2328,67,0,3344,denied
-210,60,-71,105,388,141,47,132,-20,70,76,89,-396,122,0,3145,denied
-293,54,-93,96,388,141,-65,73,-26,67,203,146,-2155,72,0,886,denied
-258,57,81,172,-192,100,45,130,118,134,83,92,-673,115,0,1080,denied
-327,52,-77,103,304,135,-85,62,-21,69,59,82,-726,113,0,3217,denied
595,120,82,172,-241,97,-71,70,-14,72,196,142,-2168,72,0,1114,denied
-351,50,66,165,-246,97,-67,72,-28,66,78,90,-2383,66,0,2936,denied
-289,54,82,172,-220,98,-82,64,-24,68,195,142,-2159,72,0,1113,denied
-329,51,-82,100,292,134,41,128,119,134,200,144,-2321,68,0,991,denied
585,119,78,170,-208,99,-68,71,-21,69,215,151,-642,115,0,934,denied
-182,62,80,171,321,136,46,131,-24,68,194,142,-2480,63,0,3166,denied
-193,61,-80,101,286,134,-68,71,111,131,85,93,-675,114,0,1003,denied
-272,56,57,161,387,141,-70,70,-19,70,73,88,-524,119,0,3161,denied
552,117,80,171,383,141,-64,73,-32,64,212,150,-675,114,0,3109,denied
524,115,-88,98,331,137,56,136,-13,73,209,148,-2283,69,0,2996,denied
677,126,-95,95,288,134,53,134,110,130,79,91,-2384,66,0,1139,denied
585,119,-93,96,302,135,-64,73,-26,67,199,144,-2337,67,0,3296,denied
605,121,76,169,308,136,-88,61,-25,67,84,93,-2223,70,0,3323,denied
-316,52,-90,97,-178,101,-71,70,116,133,196,143,-453,121,0,3332,denied
653,124,59,162,317,136,-69,70,-23,68,84,93,-2431,64,0,752,denied
-270,56,56,161,346,138,-83,63,-27,66,75,89,-573,117,0,1072,denied
625,122,62,163,-278,94,-64,73,116,133,206,147,-585,117,0,3083,denied
-322,52,-67,107,361,139,-73,69,97,124,208,148,-741,113,0,3326,denied
694,127,60,162,-189,101,-78,66,-28,66,211,149,-491,120,0,928,denied
-288,54,-78,102,321,136,37,126,100,126,72,87,-2182,72,0,1161,denied
528,115,63,164,312,136,42,129,94,123,201,145,-2392,66,0,825,denied
620,122,-67,107,340,138,37,126,115,133,208,148,-645,115,0,1100,denied
611,121,60,162,374,140,-77,67,100,125,78,90,-434,121,0,956,denied
624,122,-74,104,-269,95,-73,68,101,126,196,143,-487,120,0,974,denied
-225,59,-93,95,280,134,37,126,-21,69,205,146,-2345,67,0,3011,denied
685,126,-72,105,-287,94,37,126,-24,68,74,88,-496,120,0,3031,denied
575,118,-67,107,-280,94,-73,69,108,129,69,86,-2489,63,0,2998,denied
659,125,72,167,282,134,58,137,-22,69,204,146,-2220,70,0,3260,denied
-295,54,-89,98,-220,98,55,136,-14,73,71,87,-2162,72,0,1088,denied
-206,61,-84,100,-225,98,-88,61,-26,67,212,150,-640,115,0,1070,denied
691,127,-73,104,285,134,50,133,-25,67,73,88,-412,122,0,1019,denied
621,122,-72,104,376,140,-74,68,-12,73,74,88,-522,119,0,3004,denied
656,124,72,168,-211,99,48,132,103,127,82,92,-682,114,0,3047,denied
672,125,75,169,-269,95,-67,72,109,130,204,146,-2356,67,0,1068,denied
-279,55,64,164,-242,97,54,135,-10,74,212,150,-590,117,0,3296,denied
672,125,-80,101,301,135,54,135,-16,72,82,92,-517,119,0,3184,denied
653,124,-75,103,312,136,40,128,103,127,82,92,-721,113,0,3277,denied
564,118,-92,96,327,137,46,131,-10,74,81,92,-2290,68,0,794,denied
-330,51,-74,104,-202,100,-84,63,115,133,201,145,-635,116,0,1126,denied
-196,61,81,172,338,138,-65,73,117,133,216,151,-471,120,0,1175,denied
-211,60,-93,95,363,139,-82,64,111,131,67,85,-720,113,0,970,denied
661,125,69,166,284,134,-71,70,-18,71,200,144,-2461,64,0,3284,denied
613,121,-74,104,284,134,47,131,119,134,64,84,-557,118,0,928,denied
-260,57,-81,101,-244,97,56,136,-27,66,220,153,-703,114,0,3228,denied
533,115,83,172,-243,97,-67,71,106,128,198,144,-647,115,0,975,denied
689,127,-90,97,-223,98,-74,68,-11,74,65,84,-2437,64,0,3017,denied
-322,52,73,168,341,138,58,137,-22,69,194,142,-653,115,0,3361,denied
562,117,-89,97,337,138,-81,64,-29,66,83,93,-2235,70,0,762,denied
-342,51,59,162,293,134,-79,66,-16,72,208,148,-2237,70,0,3264,denied
-223,59,79,170,370,140,-66,72,-20,70,206,147,-2188,71,0,3198,denied
612,121,61,163,-202,100,55,135,112,131,62,83,-675,114,0,3240,denied
-263,56,69,166,-277,94,-84,63,111,131,220,153,-615,116,0,2959,denied
-264,56,65,164,388,141,-68,71,109,130,213,150,-2496,63,0,3348,denied
-283,55,-82,100,374,140,-68,71,112,131,75,89,-2367,66,0,3358,denied
682,126,77,170,-202,100,43,129,-32,64,209,148,-2215,71,0,1133,denied
530,115,-80,101,-227,98,-73,68,-34,63,202,145,-481,120,0,3137,denied
-224,59,67,165,-227,98,-80,65,-23,68,71,87,-692,114,0,1055,denied
657,124,63,163,-259,96,43,129,112,131,82,92,-680,114,0,798,denied
567,118,-88,98,309,136,57,137,114,132,59,82,-2175,72,0,3007,denied
-294,54,70,167,365,139,-71,70,105,128,196,142,-617,116,0,1182,denied
-287,55,-91,96,305,135,52,134,-27,66,209,148,-563,118,0,3325,denied
574,118,-81,101,351,139,40,128,-22,69,60,82,-2459,64,0,3012,denied
584,119,62,163,369,140,50,133,-33,64,201,145,-471,120,0,3022,denied
590,119,-94,95,-191,100,42,129,103,127,63,83,-2430,64,0,765,denied
-180,62,61,163,-288,94,-83,63,-13,73,210,149,-483,120,0,2999,denied
-259,57,73,168,-198,100,43,129,-11,74,67,85,-2365,66,0,886,denied
596,120,65,165,339,138,43,129,-26,67,59,82,-512,119,0,2986,denied
576,118,78,170,288,134,-88,61,-17,71,215,151,-2305,68,0,3147,denied
599,120,-72,105,-243,97,46,131,-15,72,197,143,-2258,69,0,3162,denied
