@relation BillNyeTheTestingGuy4.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute backspaceCount numeric
@attribute class {accepted,denied}

@data
90,55,275,110,341,142,-1890,71,0,614,0,denied
38,45,332,117,342,143,-2019,65,0,2207,0,denied
475,126,-207,51,33,65,-739,125,0,2227,0,denied
478,126,-179,55,32,65,-1961,67,0,589,0,denied
473,126,-216,50,401,157,-2076,62,0,1995,0,denied
54,48,317,115,372,150,-2069,62,0,595,0,denied
82,53,-182,54,25,63,-614,131,0,542,0,denied
91,55,360,121,21,62,-2097,61,0,588,0,denied
65,50,-139,60,380,152,-728,126,0,740,0,denied
428,117,-181,54,387,154,-2105,60,0,735,0,denied
447,121,326,117,29,64,-1898,70,0,725,0,denied
438,119,271,110,13,60,-2039,64,0,2015,0,denied
432,118,349,119,342,143,-700,127,0,736,0,denied
99,57,-159,57,47,69,-663,129,0,2259,0,denied
36,45,306,114,19,62,-2066,62,0,2275,0,denied
417,115,337,118,-5,56,-622,131,0,2008,0,denied
437,119,-140,59,-5,56,-2083,61,0,2250,0,denied
452,122,-214,50,399,157,-594,132,0,616,0,denied
73,52,-194,53,-19,52,-1988,66,0,471,0,denied
421,116,293,113,358,147,-2016,65,0,2024,0,denied
442,120,311,115,29,64,-732,126,0,2262,0,denied
419,116,362,121,393,155,-646,130,0,2129,0,denied
46,47,-141,59,31,65,-626,131,0,647,0,denied
75,52,326,117,390,155,-1896,70,0,2112,0,denied
443,120,-199,52,362,148,-2112,60,0,2025,0,denied
470,125,329,117,355,146,-2090,61,0,630,0,denied
428,117,-181,54,21,62,-2085,61,0,631,0,denied
63,50,-128,61,391,155,-2118,60,0,736,0,denied
461,123,338,118,16,61,-502,137,0,2175,0,denied
45,47,311,115,39,67,-2068,62,0,1996,0,denied
466,124,334,118,-13,54,-625,131,0,2099,0,denied
471,125,311,115,393,155,-1946,68,0,717,0,denied
55,49,318,116,377,151,-728,126,0,713,0,denied
470,125,-150,58,15,61,-2052,63,0,484,0,denied
466,124,326,117,-11,54,-1864,72,0,670,0,denied
438,119,-203,52,-15,53,-617,131,0,2078,0,denied
459,123,-160,57,32,65,-567,134,0,2264,0,denied
