@relation BillNyeTheTestingGuy1.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute class {accepted,denied}

@data
-114,71,-186,45,3,104,-98,56,-172,78,-65,87,0,150,denied
-111,73,498,137,778,197,129,108,-157,81,139,182,0,91,denied
27,168,376,120,-44,99,-96,57,-142,84,-67,86,0,145,denied
44,180,408,125,-23,101,114,105,137,141,140,182,0,152,denied
-90,87,478,134,788,198,122,107,-151,82,121,173,0,86,denied
41,178,-261,35,-42,99,-73,62,144,142,107,167,0,148,denied
-106,76,-178,46,-50,98,138,110,-160,80,113,169,0,92,denied
-111,73,426,127,-39,99,-97,57,-144,83,-41,98,0,87,denied
49,184,501,137,-66,96,-94,57,128,139,-58,90,0,85,denied
46,181,-172,47,749,193,-93,57,-177,77,-57,91,0,152,denied
37,175,374,120,8,105,142,111,-148,83,132,178,0,83,denied
52,186,421,126,751,194,-108,54,119,137,-53,93,0,88,denied
-101,79,-250,37,-93,93,-88,59,-140,84,132,178,0,80,denied
27,168,492,136,707,189,-100,56,-161,80,126,176,0,149,denied
28,169,-224,40,-97,92,-97,57,142,142,-67,86,0,86,denied
38,176,-250,37,797,199,125,107,112,136,-65,87,0,88,denied
-106,76,-208,42,-60,97,129,108,-136,85,111,169,0,86,denied
38,176,383,121,-17,102,128,108,-124,87,-65,87,0,153,denied
50,184,-174,47,737,192,112,104,145,142,125,175,0,82,denied
-114,71,-235,39,-63,96,132,109,124,138,109,168,0,153,denied
27,169,482,135,10,105,-101,56,151,144,-65,87,0,154,denied
-103,78,457,131,854,206,-106,54,155,144,126,175,0,152,denied
32,172,374,120,-81,94,130,108,-138,85,-44,97,0,149,denied
-116,69,439,129,767,196,-85,59,-136,85,141,183,0,83,denied
48,183,405,124,-32,100,-80,60,-149,82,-62,89,0,151,denied
-116,69,-197,44,-134,88,106,103,-143,84,142,183,0,92,denied
-92,86,-253,36,781,197,125,107,-130,86,131,178,0,88,denied
39,177,-234,39,-78,94,119,106,-149,82,135,180,0,91,denied
-90,87,-275,33,833,204,123,107,-131,86,-46,96,0,146,denied
-116,69,-281,33,-134,88,-98,56,-147,83,-54,92,0,155,denied
-91,86,-291,31,-111,90,-88,59,-167,79,117,171,0,154,denied
-108,75,-229,40,-113,90,136,110,138,141,-52,93,0,87,denied
-96,83,-235,39,838,204,133,109,167,147,-51,94,0,89,denied
31,172,460,132,-128,88,129,108,154,144,-62,88,0,155,denied
-116,69,423,127,-77,94,-88,59,-162,80,119,172,0,83,denied
33,173,370,120,778,197,-109,54,169,147,-75,82,0,83,denied
