@relation Password!23.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute flightTime7 numeric
@attribute dwellTime7 numeric
@attribute flightTime8 numeric
@attribute dwellTime8 numeric
@attribute flightTime9 numeric
@attribute dwellTime9 numeric
@attribute flightTime10 numeric
@attribute dwellTime10 numeric
@attribute flightTime11 numeric
@attribute dwellTime11 numeric
@attribute flightTime12 numeric
@attribute dwellTime12 numeric
@attribute backspaceCount numeric
@attribute class {accepted,denied,attackerHumanMade}

@data
-726,-228,196,738,-151,88,38,74,121,106,-66,63,82,112,122,109,-778,43,154,1126,359,436,172,129,0,118,0,denied
-672,-174,219,852,-126,93,101,132,51,30,-68,63,83,113,124,111,1327,119,159,1140,372,449,41,53,0,58,0,denied
309,807,11,-154,-165,85,93,125,114,98,-99,55,-24,48,118,106,1132,112,-443,-605,-132,-71,33,48,0,53,0,denied
210,708,180,662,222,170,91,123,112,96,157,116,-27,46,45,43,1153,112,123,1039,-121,-59,167,126,0,119,0,denied
-635,-137,-9,-254,-160,86,32,69,58,38,161,116,-26,47,53,50,1167,113,79,910,319,395,170,128,0,119,0,denied
-810,-312,195,735,-147,89,39,75,49,28,-80,60,-21,50,114,102,1245,116,-444,-607,-86,-24,175,131,0,50,0,denied
-658,-160,-25,-334,179,160,98,129,58,38,-89,58,-21,49,44,42,967,106,100,969,359,437,35,49,0,51,0,denied
244,742,200,757,-194,78,42,78,59,39,161,116,-34,42,52,48,-1007,34,-451,-627,-143,-82,44,54,0,55,0,denied
236,734,0,-204,-157,87,35,72,115,100,174,120,73,107,49,46,-775,43,74,894,-99,-36,51,58,0,111,0,denied
173,671,3,-193,-166,85,98,130,47,27,176,120,77,109,118,105,999,107,-462,-660,321,397,44,54,0,56,0,denied
203,701,-9,-256,-182,81,37,74,123,108,-93,57,-33,42,49,46,1335,119,136,1076,334,410,153,118,0,53,0,denied
211,709,180,663,222,170,95,126,114,98,-63,64,80,111,49,46,968,106,95,957,-78,-16,43,54,0,53,0,denied
201,699,200,759,232,172,39,76,123,108,-93,57,-30,44,125,112,1279,117,-427,-558,-107,-45,50,57,0,49,0,denied
-773,-275,-20,-306,-169,84,92,123,124,109,178,120,74,107,52,49,1154,112,-421,-541,-83,-20,155,119,0,55,0,denied
-769,-271,-25,-331,206,166,99,130,51,31,-94,56,-21,50,123,110,1126,111,-408,-503,372,450,167,126,0,116,0,denied
-660,-162,210,809,194,164,42,78,52,31,-92,57,72,106,114,102,1194,114,-379,-420,-104,-42,49,57,0,59,0,denied
-812,-314,218,845,-181,81,98,130,124,109,-58,65,-27,46,47,44,1018,108,99,968,-144,-83,40,52,0,58,0,denied
245,743,-18,-300,202,165,38,75,117,101,178,120,-21,50,55,51,-1063,32,-409,-505,369,447,164,124,0,58,0,denied
330,828,-5,-234,230,172,36,73,47,26,165,117,67,103,48,45,1350,120,83,923,359,437,55,61,0,49,0,denied
331,829,206,787,-130,92,99,130,123,108,-81,60,-34,42,46,44,1254,116,-421,-539,295,371,54,60,0,117,0,denied
221,719,188,698,-196,78,41,77,51,30,177,120,-33,42,118,105,-1023,34,-422,-545,373,451,46,55,0,112,0,denied
-718,-220,0,-212,-147,89,96,127,123,108,145,113,-16,53,51,48,1227,115,119,1025,301,377,48,56,0,55,0,denied
312,810,189,704,207,167,35,72,54,34,-95,56,-24,48,48,45,1146,112,141,1089,339,415,37,50,0,109,0,denied
241,739,-18,-300,208,167,39,75,113,97,-65,63,75,108,126,112,-805,42,126,1046,352,429,42,53,0,57,0,denied
258,756,199,752,224,170,100,131,56,36,-86,58,65,102,121,108,-1040,33,-381,-424,-121,-60,47,56,0,112,0,denied
-669,-171,185,685,-164,85,41,77,48,27,-58,65,77,109,119,106,-1029,34,116,1018,370,448,155,119,0,52,0,denied
180,678,217,843,-165,85,33,70,116,101,-71,62,-29,45,46,44,-885,39,120,1029,-151,-90,154,118,0,110,0,denied
301,799,202,768,222,170,33,70,51,30,171,119,82,112,45,43,1010,107,102,977,300,375,50,58,0,114,0,denied
250,748,216,836,-128,93,32,69,58,38,-100,55,-31,44,50,47,997,107,-394,-463,331,408,49,57,0,117,0,denied
246,744,6,-175,203,166,39,75,121,106,140,112,-16,52,54,50,-891,39,97,961,357,434,48,57,0,48,0,denied
-715,-217,179,656,205,166,101,132,56,36,-79,60,79,110,51,48,1206,114,87,933,316,392,162,123,0,48,0,denied
202,700,-15,-281,-163,85,96,128,122,107,-91,57,80,111,125,111,-1076,32,-361,-366,322,398,41,53,0,57,0,denied
200,698,203,774,-194,78,97,128,118,103,136,110,68,104,50,47,1162,113,-446,-614,-135,-74,165,125,0,113,0,denied
-765,-267,7,-173,-145,89,35,71,47,26,170,118,74,107,47,44,1290,117,125,1042,-145,-84,155,119,0,111,0,denied
-698,-200,7,-173,196,164,32,69,52,31,147,113,84,113,125,112,-1058,32,-449,-623,-101,-39,39,51,0,49,0,denied
256,754,6,-180,-146,89,98,130,56,36,-75,61,72,106,52,49,1089,110,-375,-407,-148,-87,56,61,0,50,0,denied
205,703,198,747,-142,90,34,71,117,102,-70,62,81,112,115,103,-846,40,144,1099,-140,-79,161,122,0,50,0,denied
-723,-225,216,837,-187,80,40,77,50,30,136,110,66,103,52,49,1165,113,-430,-566,372,450,35,49,0,108,0,denied
-726,-228,179,659,-133,92,101,132,54,33,-97,56,-31,43,51,48,966,106,173,1181,-136,-75,172,129,0,49,0,denied
-812,-314,-1,-214,-129,93,97,129,59,39,171,119,70,105,123,110,-992,35,-432,-572,312,388,49,57,0,57,0,denied
314,812,204,779,-146,89,97,128,56,36,-88,58,-15,53,122,109,1301,118,-416,-526,300,375,35,49,0,116,0,denied
-681,-183,-13,-273,183,161,99,131,51,31,168,118,-26,47,122,109,-904,38,88,937,-154,-94,43,54,0,58,0,denied
230,728,-7,-245,-137,91,92,124,122,107,136,111,73,107,118,105,1165,113,-390,-451,-143,-82,160,122,0,112,0,denied
177,675,-2,-220,225,170,36,73,48,27,174,120,-26,47,55,52,1112,111,127,1049,289,364,56,61,0,58,0,denied
223,721,-23,-323,-129,93,100,131,122,107,149,114,-29,45,50,47,1275,117,75,897,-113,-51,36,49,0,117,0,denied
192,690,13,-141,195,164,35,72,47,26,163,117,-32,43,127,113,1147,112,70,885,-144,-83,42,53,0,111,0,denied
-707,-209,199,752,-131,92,99,130,119,104,-62,64,-34,42,123,109,1364,120,105,985,366,443,153,118,0,50,0,denied
-683,-185,209,800,-156,87,98,130,121,106,137,111,-21,50,56,52,-702,45,-395,-466,377,455,49,57,0,109,0,denied
272,770,-6,-238,221,170,42,78,59,39,176,120,-34,42,53,50,1311,118,140,1087,368,445,158,120,0,55,0,denied
-750,-252,-8,-252,-131,92,41,77,51,30,159,116,-27,46,126,112,-735,44,94,952,-121,-60,157,120,0,116,0,denied
202,700,0,-211,194,164,38,74,59,39,137,111,80,111,55,52,1157,113,-421,-542,330,407,51,59,0,109,0,denied
-752,-254,-7,-243,229,172,34,71,119,104,156,115,70,105,125,112,1053,109,157,1134,290,365,169,127,0,112,0,denied
-708,-210,-15,-283,-175,83,93,125,52,31,144,112,81,111,52,49,1335,119,160,1145,-80,-17,42,53,0,58,0,denied
-740,-242,-18,-299,-159,86,31,68,118,102,133,110,70,105,127,113,-867,39,150,1114,363,440,154,118,0,59,0,denied
328,826,193,724,226,171,95,127,124,109,-82,59,81,111,55,52,-762,43,-377,-413,-110,-48,48,56,0,49,0,denied
214,712,-15,-283,196,164,97,129,48,27,157,115,73,107,126,112,1153,112,138,1082,326,402,164,124,0,119,0,denied
186,684,-8,-252,234,172,95,126,118,102,176,120,71,105,126,112,-1112,31,153,1124,372,449,36,50,0,110,0,denied
337,835,207,790,-191,79,34,70,122,107,144,113,-30,44,126,112,1323,119,93,950,-159,-99,36,50,0,57,0,denied
-791,-293,-6,-242,-185,81,35,72,115,100,-89,58,-15,53,127,113,-814,41,-449,-621,-132,-71,45,55,0,108,0,denied
328,826,206,789,229,171,34,71,58,38,-98,55,77,109,50,47,-1069,32,88,935,-162,-101,166,126,0,117,0,denied
-819,-321,188,698,215,168,92,124,121,106,175,120,-17,52,121,108,1284,117,-434,-579,-154,-93,167,126,0,54,0,denied
259,757,180,662,198,165,95,127,119,103,145,113,77,109,52,49,-906,38,-376,-411,327,403,176,131,0,111,0,denied
-795,-297,182,673,209,167,39,75,59,39,151,114,68,104,119,106,-722,45,152,1121,335,412,45,55,0,55,0,denied
-681,-183,209,803,221,170,32,69,56,36,-100,55,80,111,45,42,1125,111,135,1073,304,380,45,55,0,110,0,denied
-771,-273,8,-167,188,163,93,125,53,33,164,117,77,109,45,43,1012,107,69,881,313,388,44,54,0,58,0,denied
-686,-188,181,668,191,163,94,126,118,102,146,113,-32,43,45,43,1260,116,-384,-432,297,372,51,58,0,116,0,denied
-760,-262,-19,-302,197,164,98,129,124,109,-94,56,81,112,116,104,1311,118,-431,-569,338,415,45,55,0,51,0,denied
206,704,200,761,174,159,35,72,119,104,-74,61,83,113,55,51,-854,40,-377,-413,305,381,155,119,0,57,0,denied
%Attacker Human made data
-328,159,160,344,72,137,65,95,201,111,32,128,-39,119,80,111,577,151,-432,152,136,489,103,104,0,168,0,attackerHumanMade
-296,111,177,320,97,120,64,94,144,121,40,136,-31,143,88,127,472,145,-143,311,144,159,113,96,0,119,0,attackerHumanMade
-144,272,160,168,89,135,81,95,144,119,16,104,-24,145,89,127,232,143,-167,352,193,183,122,111,0,142,0,attackerHumanMade
-175,287,161,191,72,128,65,95,120,111,32,120,-48,136,95,129,521,144,-151,327,136,175,121,112,0,135,0,attackerHumanMade
-169,321,192,185,63,120,73,104,313,143,26,120,-23,141,88,128,232,167,-151,312,130,167,105,127,0,174,0,attackerHumanMade
-120,248,161,160,88,127,72,104,128,112,24,112,-39,151,87,128,296,145,-153,312,128,168,97,120,0,120,0,attackerHumanMade
-134,280,192,158,72,137,80,87,121,129,25,126,-24,120,90,128,247,142,-159,353,136,175,145,119,0,144,0,attackerHumanMade
-152,296,169,175,97,119,72,96,122,103,31,112,-40,128,121,120,408,135,-360,160,128,377,136,111,0,120,0,attackerHumanMade
-152,297,178,167,87,119,58,113,184,118,130,159,-17,112,80,120,232,151,-150,280,101,170,152,120,0,120,0,attackerHumanMade
-144,304,143,168,81,120,80,88,121,103,24,119,-24,128,64,129,183,160,-154,347,112,176,136,119,0,153,0,attackerHumanMade
-136,264,159,161,89,128,82,94,128,127,17,119,-39,119,65,128,159,183,-120,288,121,145,121,102,0,136,0,attackerHumanMade
-168,296,128,208,81,127,74,95,113,102,16,136,-32,152,88,104,304,151,-160,193,105,183,121,111,0,135,0,attackerHumanMade
-120,264,136,168,96,112,80,80,105,104,24,111,-31,135,73,119,200,152,-177,289,97,200,128,111,0,129,0,attackerHumanMade
-135,249,129,166,89,111,88,80,224,96,23,17,-24,104,120,120,193,152,-144,287,136,160,119,105,0,136,0,attackerHumanMade
-144,232,136,176,104,113,82,86,104,103,-16,144,-40,152,104,128,192,136,-151,328,121,175,112,127,0,151,0,attackerHumanMade
-144,272,161,167,96,111,88,89,120,104,25,112,-47,134,90,119,200,143,-143,320,137,159,136,119,0,136,0,attackerHumanMade
-168,280,136,184,81,143,79,89,105,104,16,119,-39,144,89,119,160,159,-136,312,136,160,137,112,0,143,0,attackerHumanMade
-281,152,160,306,89,126,81,89,105,94,17,119,-32,151,105,120,159,143,-143,288,136,168,113,128,0,151,0,attackerHumanMade
-142,262,123,174,79,119,72,88,112,97,-23,135,-24,143,104,104,160,120,-150,280,138,165,121,95,0,128,0,attackerHumanMade
-264,160,168,288,122,120,80,71,96,103,17,120,-32,119,113,112,157,135,-168,324,160,183,121,104,0,128,0,attackerHumanMade
-175,281,153,191,80,111,82,87,97,103,25,119,-47,135,137,127,167,136,-152,328,144,168,121,104,0,103,0,attackerHumanMade
-143,289,113,166,96,119,96,72,104,80,17,120,-22,126,104,112,160,119,-127,296,112,142,104,122,0,127,0,attackerHumanMade
-128,240,96,161,87,120,74,79,89,119,17,119,-48,143,112,112,143,137,-151,305,129,166,119,120,0,112,0,attackerHumanMade
-150,248,128,175,72,120,81,87,105,95,-24,128,-48,159,119,129,208,112,-128,328,168,144,104,105,0,127,0,attackerHumanMade
-136,257,88,176,81,128,65,95,97,103,-24,127,-32,168,96,113,311,160,-303,144,105,319,113,119,0,135,0,attackerHumanMade
-151,256,97,191,80,119,88,89,97,95,-15,127,-39,159,120,111,145,120,-138,281,137,152,120,103,0,120,0,attackerHumanMade
-119,257,104,142,97,112,65,80,95,96,16,119,-39,136,97,119,144,135,-142,280,129,166,98,111,0,118,0,attackerHumanMade
-135,264,112,167,73,104,72,103,103,98,-23,135,-47,167,112,127,120,144,-151,288,112,167,96,112,0,137,0,attackerHumanMade
-111,256,121,151,72,112,73,87,98,103,-16,127,-32,160,88,119,225,136,-289,152,119,305,120,96,0,88,0,attackerHumanMade
-264,104,608,320,224,112,88,80,344,152,-8,152,8,80,176,112,2736,112,-128,512,176,128,96,88,0,88,0,attackerHumanMade
-984,80,456,1376,672,128,64,88,142,82,-1,145,-24,112,144,112,224,112,-72,560,160,112,112,80,0,72,0,attackerHumanMade
-680,88,224,744,128,104,80,64,128,88,94,136,32,90,872,88,968,128,-63,328,120,135,104,88,0,64,1,attackerHumanMade
-592,87,241,632,104,127,72,64,343,114,-72,175,-8,104,369,112,1168,119,-95,432,144,127,80,88,0,80,0,attackerHumanMade
-351,103,345,383,110,119,73,74,136,96,240,136,-31,127,113,127,239,96,-136,489,169,151,120,120,0,79,0,attackerHumanMade
-416,104,193,431,104,136,80,72,137,79,32,144,-16,88,104,112,127,96,-112,561,201,127,96,80,0,87,0,attackerHumanMade
-112,336,152,128,104,120,64,96,136,112,16,152,-34,106,107,117,304,104,-104,512,160,104,96,80,0,80,0,attackerHumanMade
-296,80,184,328,104,128,88,80,128,72,-24,160,-24,104,80,128,704,96,-696,128,232,712,88,96,0,88,0,attackerHumanMade
-432,111,192,448,160,128,128,96,416,112,32,112,-8,64,136,88,512,64,-464,128,112,488,96,104,0,88,0,attackerHumanMade
-576,103,216,592,112,120,72,72,121,104,8,175,-5,112,88,117,509,115,-63,336,136,103,81,104,0,79,0,attackerHumanMade
-352,95,193,376,104,143,89,80,136,63,24,112,-15,96,129,103,136,55,-72,473,129,143,105,79,0,87,0,attackerHumanMade
-271,71,169,303,97,143,89,71,153,55,16,136,-24,88,104,120,127,80,-104,545,193,111,81,95,0,96,0,attackerHumanMade
-400,112,353,447,96,128,72,72,128,80,-8,176,-63,111,96,136,560,88,-569,128,184,593,168,48,0,56,0,attackerHumanMade
-336,72,144,376,96,128,72,64,128,80,-24,160,0,72,96,128,560,104,-528,104,128,552,88,80,0,96,0,attackerHumanMade
-328,96,144,344,160,128,64,88,120,88,-48,152,8,88,96,104,136,104,-87,536,200,111,112,96,0,80,0,attackerHumanMade
-1048,87,225,1096,120,111,64,88,112,104,88,144,-33,81,80,120,144,120,-87,552,176,119,96,80,0,80,0,attackerHumanMade
-377,96,161,392,71,128,81,88,113,79,-23,159,-31,87,104,120,216,95,-128,545,153,135,80,88,0,104,0,attackerHumanMade
-79,287,161,87,78,138,96,64,144,88,-15,119,0,96,96,112,608,80,-552,112,129,567,88,96,0,80,0,attackerHumanMade
-384,96,137,415,72,136,64,96,128,88,-24,168,-56,104,72,144,496,112,-504,128,152,528,96,80,0,72,0,attackerHumanMade
-240,88,144,256,72,128,72,88,120,72,-8,160,-16,104,80,112,608,128,-632,160,1320,640,88,96,0,80,0,attackerHumanMade
-624,72,168,688,193,120,137,47,336,127,32,152,-16,80,96,128,168,88,-128,592,200,152,88,104,0,88,0,attackerHumanMade
-87,296,127,88,64,144,64,96,112,72,-31,160,-23,95,96,95,152,88,-111,592,145,119,80,95,0,72,0,attackerHumanMade
