@relation M@u123!Attacker1.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute flightTime7 numeric
@attribute dwellTime7 numeric
@attribute flightTime8 numeric
@attribute dwellTime8 numeric
@attribute backspaceCount numeric
@attribute class {accepted,denied}

@data
130,70,-711,110,110,821,120,70,-90,200,-60,120,75,130,-110,190,0,130,0,denied
104,70,-604,100,100,684,210,70,-100,200,-60,120,70,120,-80,180,0,120,0,denied
-250,80,-40,370,360,100,190,60,-80,150,-80,130,90,120,-80,160,0,100,0,denied
110,70,-604,120,140,674,60,90,-120,180,-80,160,60,140,-130,200,0,130,0,denied
50,70,-520,100,130,580,110,88,-120,190,-80,140,120,140,-120,210,0,140,0,denied
-470,80,-40,550,240,100,130,60,-121,191,-70,141,100,130,-110,190,0,120,0,denied
20,80,-580,110,173,610,150,70,-120,180,-70,140,240,110,-230,150,0,250,0,denied
10,69,-332,110,90,382,122,80,-90,150,-60,120,100,140,-110,190,0,110,0,denied
31,80,-461,110,130,471,70,70,-80,170,-50,120,50,130,-90,190,0,120,0,denied
-420,70,-30,480,130,100,60,70,-120,190,-60,130,100,120,-130,220,0,130,0,denied
-372,70,0,392,235,104,80,60,-90,170,-60,120,485,140,-90,171,0,110,0,denied
-450,80,10,520,140,100,80,70,-100,190,-80,140,140,140,-100,190,0,130,0,denied
70,60,-680,130,160,700,120,60,-110,230,-60,130,220,100,-180,90,0,190,0,denied
50,70,-500,110,147,510,120,70,-100,200,-80,120,140,120,-120,160,0,130,0,denied







































































































