@relation mauTest6.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute flightTime7 numeric
@attribute dwellTime7 numeric
@attribute flightTime8 numeric
@attribute dwellTime8 numeric
@attribute flightTime9 numeric
@attribute dwellTime9 numeric
@attribute flightTime10 numeric
@attribute dwellTime10 numeric
@attribute flightTime11 numeric
@attribute dwellTime11 numeric
@attribute backspaceCount numeric
@attribute class {accepted,denied,attackerHumanMade}

@data
34,246,-357,86,-792,-23,349,842,-68,247,-124,136,-62,185,175,108,-60,229,-166,141,-69,193,0,903,0,denied
9,235,36,344,-751,4,29,194,-75,229,-73,197,-62,185,146,97,-69,217,-164,142,-60,194,0,162,0,denied
52,253,87,377,-140,425,321,786,-73,234,-126,133,-131,128,400,194,-144,128,-26,221,-50,195,0,61,0,denied
11,236,17,331,-724,23,11,157,-123,108,-75,194,-73,176,390,191,-69,217,-3,234,-173,179,0,943,0,denied
-268,125,-419,45,-189,391,357,858,-68,247,-71,199,-67,181,392,191,-62,226,-16,226,-94,189,0,1010,0,denied
-1,231,84,375,-791,-22,-17,97,-69,244,-122,139,-63,184,371,183,-135,138,-24,222,-35,197,0,963,0,denied
-268,125,-420,44,-184,394,32,198,-67,249,-71,200,-130,129,383,188,-140,133,1,236,-124,185,0,1028,0,denied
-244,135,-384,68,-154,415,7,149,-117,125,-77,193,-65,182,391,191,-140,133,-27,220,-837,89,0,129,0,denied
25,242,66,364,-818,-41,321,785,-73,235,-77,192,-129,129,141,95,-72,214,-171,138,-38,197,0,122,0,denied
51,252,35,343,-735,15,377,898,-73,235,-69,202,-70,179,392,191,-134,140,-24,221,-154,181,0,931,0,denied
5,234,30,340,-199,384,379,902,-126,102,-124,136,-64,184,390,190,-134,139,-18,225,-27,198,0,118,0,denied
10,236,-435,35,-148,419,22,180,-125,103,-75,194,-132,127,129,91,-62,227,-158,145,-64,193,0,883,0,denied
33,245,33,342,-190,391,378,900,-74,231,-75,195,-62,185,369,183,-147,124,-19,224,-867,85,0,109,0,denied
37,246,-361,83,-96,455,29,194,-123,110,-121,139,-72,177,408,197,-65,222,-152,149,-848,87,0,55,0,denied
-265,126,-430,38,-807,-33,378,902,-124,107,-127,132,-124,133,147,97,-137,136,-2,234,-129,184,0,940,0,denied
22,241,-416,47,-155,414,-5,121,-68,247,-78,191,-62,185,154,100,-142,131,-173,137,-25,199,0,53,0,denied
31,244,53,355,-99,453,13,160,-69,243,-126,134,-70,178,380,187,-63,225,-26,221,-94,189,0,869,0,denied
-255,130,15,330,-830,-49,24,182,-125,103,-76,194,-130,128,377,186,-142,130,-15,227,-913,78,0,914,0,denied
-239,137,67,364,-127,434,-4,125,-70,242,-76,194,-122,135,406,197,-65,223,-158,146,-54,195,0,33,0,denied
-275,122,-361,83,-108,447,-13,106,-117,124,-75,195,-68,180,169,106,-135,138,0,235,-847,87,0,98,0,denied
-286,118,-359,84,-748,6,15,165,-125,104,-78,191,-73,176,374,185,-71,216,-171,138,-89,190,0,985,0,denied
52,252,75,369,-804,-31,329,802,-67,250,-122,138,-70,179,372,184,-70,217,-165,141,-871,84,0,892,0,denied
0,232,41,347,-141,424,351,847,-123,110,-70,200,-70,178,392,191,-61,227,-16,226,-117,186,0,910,0,denied
41,248,-438,32,-809,-35,365,875,-123,108,-123,137,-129,129,169,106,-59,229,-4,233,-907,79,0,951,0,denied
3,233,69,366,-209,378,337,818,-68,248,-69,202,-132,127,168,106,-66,221,-13,228,-47,196,0,888,0,denied
-273,123,-438,32,-758,0,348,841,-119,120,-126,134,-126,132,158,102,-69,217,-17,225,-90,190,0,888,0,denied
30,244,55,356,-811,-36,355,854,-71,238,-119,142,-63,185,373,184,-62,226,-171,138,-119,186,0,171,0,denied
37,247,52,354,-825,-45,-15,103,-71,239,-123,137,-62,185,144,96,-146,125,-4,233,-856,86,0,998,0,denied
28,243,21,334,-733,17,-22,87,-76,227,-71,199,-63,185,392,192,-58,231,-148,151,-866,85,0,122,0,denied
-254,131,25,337,-158,412,-8,117,-75,229,-122,138,-67,181,129,91,-69,217,-7,231,-874,84,0,171,0,denied
-283,119,-401,57,-781,-16,0,132,-68,248,-125,134,-129,129,365,181,-140,133,-14,227,-49,195,0,165,0,denied
12,237,-365,80,-110,445,1,136,-76,227,-75,195,-64,184,410,198,-70,216,-171,138,-94,189,0,73,0,denied
-273,123,-384,68,-186,393,-4,124,-121,115,-123,137,-69,180,148,98,-137,136,-3,233,-156,181,0,979,0,denied
-276,122,-435,34,-142,423,327,798,-117,124,-69,202,-131,128,163,104,-138,134,-148,151,-69,193,0,985,0,denied
-267,125,92,380,-193,388,333,810,-119,120,-127,133,-63,184,383,188,-134,139,-23,222,-826,90,0,1026,0,denied
43,249,-367,79,-186,393,13,162,-71,240,-125,135,-65,182,398,194,-62,226,-12,228,-95,189,0,184,0,denied
-281,120,-445,28,-716,28,327,798,-117,124,-121,140,-126,132,374,185,-71,215,-4,233,-849,87,0,865,0,denied
39,247,-409,51,-97,454,372,889,-123,110,-119,142,-123,134,158,102,-67,221,-177,135,-80,191,0,867,0,denied
50,252,-408,52,-767,-6,356,856,-122,111,-75,195,-122,135,396,193,-137,137,-166,141,-903,80,0,179,0,denied
-290,116,-386,67,-211,376,328,799,-118,122,-77,193,-133,126,160,102,-139,133,-149,151,-809,92,0,996,0,denied
44,249,-445,28,-115,442,380,905,-72,236,-70,201,-72,177,162,103,-61,228,-150,150,-69,193,0,152,0,denied
-273,123,-373,75,-187,393,339,822,-70,243,-121,139,-63,184,168,106,-61,228,-1,235,-125,185,0,150,0,denied
-277,122,-368,78,-818,-41,11,157,-70,243,-123,137,-72,177,130,91,-133,141,-159,145,-99,189,0,927,0,denied
-237,137,-409,51,-131,431,364,873,-75,230,-76,193,-71,177,395,193,-65,222,0,236,-136,184,0,1024,0,denied
-289,117,80,372,-778,-13,-20,91,-124,106,-74,196,-65,182,132,92,-135,138,-9,230,-821,91,0,967,0,denied
-261,128,-430,37,-828,-48,326,795,-117,125,-124,136,-130,128,398,194,-70,217,-152,149,-798,94,0,873,0,denied
-289,117,75,369,-152,416,332,808,-123,109,-125,134,-71,178,406,197,-61,228,-21,223,-922,77,0,108,0,denied
-247,134,-383,68,-771,-9,340,824,-76,227,-76,193,-127,131,138,94,-60,228,-169,139,-891,81,0,166,0,denied
-271,124,-445,28,-718,27,382,909,-126,101,-122,138,-129,129,162,103,-140,133,-13,228,-48,196,0,123,0,denied
-275,123,-390,64,-137,427,39,212,-74,233,-71,199,-131,127,368,182,-138,135,-25,221,-830,90,0,971,0,denied
-268,125,-374,75,-806,-32,386,917,-124,107,-76,194,-131,127,403,196,-72,215,-19,225,-841,88,0,920,0,denied
2,233,-426,40,-123,436,361,867,-123,109,-73,197,-131,127,175,108,-64,224,-153,149,-141,183,0,878,0,denied
-267,125,81,373,-210,377,40,216,-71,240,-70,201,-129,129,381,187,-58,231,-16,226,-859,86,0,915,0,denied
-283,119,-418,45,-835,-52,-5,122,-117,123,-70,200,-122,135,145,97,-141,131,-172,137,-86,190,0,941,0,denied
44,249,-383,69,-208,378,347,839,-74,231,-126,134,-72,177,378,186,-143,129,-169,139,-80,191,0,901,0,denied
-266,126,-366,80,-751,4,359,862,-120,118,-127,133,-122,135,133,92,-142,130,-164,142,-134,184,0,910,0,denied
-273,123,29,339,-204,380,3,139,-124,106,-119,141,-73,176,144,96,-68,219,-165,142,-140,183,0,903,0,denied
6,234,-442,30,-767,-6,21,178,-126,102,-69,202,-128,130,151,99,-134,140,-4,233,-926,76,0,94,0,denied
34,245,25,337,-195,387,3,140,-76,226,-127,132,-67,181,402,195,-144,128,-172,137,-868,84,0,171,0,denied
-269,125,6,324,-139,425,-6,120,-76,227,-72,198,-73,176,139,95,-62,226,-177,135,-849,87,0,118,0,denied
10,236,70,366,-748,6,0,134,-68,247,-121,139,-129,129,373,184,-134,140,-151,149,-813,92,0,865,0,denied
-284,119,-437,33,-121,438,372,888,-72,236,-120,141,-65,183,175,108,-71,215,-171,138,-807,93,0,919,0,denied
-269,125,-437,33,-188,392,0,132,-119,118,-75,194,-129,129,137,94,-59,230,-22,223,-859,86,0,890,0,denied
-271,124,27,338,-182,396,355,854,-121,114,-71,199,-70,179,410,198,-58,231,-170,139,-160,180,0,878,0,denied
5,234,6,324,-201,383,31,196,-67,249,-75,194,-124,133,374,185,-147,124,-10,229,-880,83,0,59,0,denied
-287,118,-375,73,-164,408,338,819,-121,113,-70,201,-132,127,138,94,-65,222,-23,222,-867,85,0,973,0,denied
-2,231,50,353,-199,384,30,195,-74,231,-124,136,-73,176,167,105,-65,222,-177,135,-852,87,0,195,0,denied
44,249,79,372,-184,394,22,179,-120,118,-127,133,-67,181,404,196,-58,231,-13,227,-94,189,0,1018,0,denied
8,235,74,368,-94,456,-24,84,-121,114,-76,193,-127,131,381,187,-66,221,-174,136,-801,93,0,41,0,denied
-240,136,-414,48,-770,-7,-11,109,-68,246,-122,138,-130,129,165,105,-69,218,-18,225,-862,85,0,39,0,denied
-264,127,-439,32,-205,380,21,177,-120,116,-76,194,-70,179,399,194,-134,140,-20,224,-147,182,0,976,0,denied
-268,125,90,379,-764,-4,321,785,-118,121,-78,191,-73,176,376,185,-69,218,-160,145,-852,87,0,133,0,denied
-256,130,-381,70,-128,433,14,162,-73,235,-74,196,-128,130,152,100,-58,231,-177,135,-125,185,0,94,0,denied
43,249,-393,62,-780,-15,9,152,-76,226,-125,135,-64,183,377,186,-61,227,-18,225,-54,195,0,985,0,denied
-289,117,-442,30,-730,19,345,835,-121,113,-71,199,-122,135,154,100,-144,128,-13,228,-162,180,0,67,0,denied
-267,126,-426,40,-121,438,29,193,-68,247,-123,137,-73,176,134,93,-69,217,-170,139,-141,183,0,991,0,denied
23,241,26,337,-97,454,330,804,-120,118,-72,199,-130,128,404,196,-139,134,-22,222,-819,91,0,164,0,denied
-289,117,-382,69,-761,-2,356,857,-121,115,-126,134,-73,176,404,196,-138,135,-177,135,-82,191,0,909,0,denied
21,240,38,345,-212,375,25,186,-69,244,-127,132,-70,179,157,101,-63,225,-25,221,-948,74,0,1019,0,denied
21,240,-419,45,-212,375,369,882,-72,236,-78,191,-73,176,166,105,-66,221,-3,233,-23,199,0,191,0,denied
-256,130,86,376,-777,-12,-15,101,-67,249,-73,197,-68,180,368,182,-144,128,-164,142,-929,76,0,131,0,denied
33,245,6,324,-183,395,334,812,-120,118,-78,191,-133,126,154,100,-70,217,-6,232,-85,190,0,113,0,denied
-292,116,-444,29,-724,23,1,135,-74,232,-125,135,-127,131,390,191,-65,223,-155,147,-49,195,0,874,0,denied
-250,132,-417,46,-838,-54,-20,91,-122,112,-120,141,-63,184,369,183,-142,130,-20,224,-910,79,0,994,0,denied
0,231,-440,31,-766,-5,376,897,-122,111,-78,191,-122,135,152,99,-72,214,-19,224,-851,87,0,86,0,denied
1,232,-389,65,-214,374,10,155,-69,245,-71,199,-67,181,381,187,-70,217,-159,145,-942,74,0,71,0,denied
17,239,-382,69,-175,401,12,158,-70,241,-69,202,-122,135,146,97,-65,223,-167,140,-846,87,0,103,0,denied
%Attacker Human made data
-128,160,-80,184,-520,104,735,593,-96,160,-96,176,-696,136,496,752,-88,160,-128,184,-64,152,0,120,0,attackerHumanMade
-96,176,-56,136,-551,95,440,904,-112,208,-113,152,-79,152,585,120,-239,351,-832,319,-111,856,0,136,0,attackerHumanMade
-96,208,-80,192,-1496,112,328,1608,-103,264,-96,143,-88,128,688,112,-104,224,-64,160,-2820,120,0,2900,0,attackerHumanMade
-120,215,-88,192,-568,112,264,592,-87,177,-104,143,-72,144,592,104,-79,152,-105,160,-576,112,0,632,0,attackerHumanMade
-760,176,-136,784,-80,160,248,96,-88,176,-88,120,-104,136,840,136,-136,184,-113,185,-1933,113,0,2076,0,attackerHumanMade
-56,208,-751,95,-168,760,264,168,-112,216,-104,144,-96,152,496,136,-104,160,-88,160,-1604,119,0,1709,0,attackerHumanMade
-111,184,-72,152,-816,72,312,888,-104,183,-79,136,-112,127,481,160,-144,175,-104,192,-1749,137,0,1884,0,attackerHumanMade
-104,216,-88,160,-496,112,224,576,-104,200,-112,152,-72,128,504,120,-144,184,-104,200,-640,168,0,848,0,attackerHumanMade
-136,248,-104,200,-512,120,280,568,-112,248,-135,207,-55,151,568,128,-64,184,16,176,-816,160,0,992,0,attackerHumanMade
-137,240,-80,184,-1207,104,1105,1215,-87,200,-103,103,-64,127,368,128,-119,216,-96,167,-2765,104,0,2861,0,attackerHumanMade
-104,192,-856,192,-88,872,376,112,-88,184,-128,168,-88,144,424,144,-112,192,-104,200,-1861,152,0,1909,0,attackerHumanMade
-104,184,-96,160,-896,104,400,912,-111,199,-120,160,-80,144,399,120,-104,153,-104,176,-1781,136,0,1844,0,attackerHumanMade
-128,208,-72,152,-440,96,200,480,-120,224,-104,144,-88,136,568,136,-112,184,-120,184,-632,144,0,688,0,attackerHumanMade
-168,232,-79,207,-968,104,296,1088,-96,184,-104,144,-80,136,409,103,-104,168,-96,160,-1837,128,0,1917,0,attackerHumanMade
-104,191,-88,137,-1216,104,313,1223,-103,175,-80,135,-88,128,417,112,-95,143,-111,175,-1972,127,0,2044,0,attackerHumanMade
-128,224,-95,152,-552,103,201,664,-105,184,-104,152,-104,144,360,144,-119,184,-104,167,-511,112,0,592,0,attackerHumanMade
-112,200,-96,160,-888,104,232,920,-96,176,-104,144,-72,136,400,112,-128,168,-104,168,-1565,112,0,1741,0,attackerHumanMade
-120,176,-80,168,-1128,104,200,1152,-120,208,-103,143,-72,128,544,128,-121,217,-105,177,-1997,120,0,2110,0,attackerHumanMade
-112,200,-88,152,-815,103,217,895,-111,191,-87,143,-80,120,335,136,-103,160,-95,167,-1492,103,0,1653,0,attackerHumanMade
-127,232,-95,167,-904,111,192,913,-95,199,-103,135,-63,119,409,119,-128,191,-128,224,-1621,137,0,1708,0,attackerHumanMade
-136,184,-105,177,-1056,105,256,1079,-112,184,-120,168,-72,136,400,112,-112,208,-112,176,-1828,136,0,1908,0,attackerHumanMade
-824,176,-136,864,-89,153,176,96,-88,160,-112,144,-88,136,352,136,-120,168,-112,176,-1437,120,0,1517,0,attackerHumanMade
-128,224,-88,168,-840,104,184,864,-80,152,-121,136,-87,128,584,120,-105,161,-120,168,-1621,136,0,1653,0,attackerHumanMade
-120,168,-976,153,-80,992,191,80,-80,177,-40,176,88,167,328,97,-72,167,-112,144,-1852,128,0,1884,0,attackerHumanMade
-800,169,-113,816,-89,113,161,104,-104,175,-104,128,-96,136,297,136,-96,135,-112,168,-1284,128,0,1308,0,attackerHumanMade
-112,224,-800,136,-104,825,175,104,-80,160,-104,128,-64,120,657,103,-96,176,-1653,152,-136,1669,0,144,0,attackerHumanMade
-752,145,-129,784,-88,137,161,95,-104,184,-95,119,-72,120,560,120,-96,160,-95,160,-1533,111,0,1573,0,attackerHumanMade
-792,169,-128,807,-80,144,208,88,-88,168,-88,120,-81,121,312,104,-152,240,-87,200,-1428,119,0,1468,0,attackerHumanMade
-96,216,-808,128,-104,832,232,104,-120,160,-113,153,-88,144,280,112,-103,152,-104,159,-1316,120,0,1364,0,attackerHumanMade
160,103,321,72,-1081,80,449,1208,56,159,144,121,209,119,848,96,137,71,145,71,-1112,71,0,1232,0,attackerHumanMade
344,72,230,56,-2465,66,385,2552,80,128,192,112,152,128,864,104,128,72,144,64,-728,63,0,824,0,attackerHumanMade
136,64,208,80,-1488,80,432,1816,64,144,128,112,104,128,664,104,160,80,152,64,-952,72,0,1048,0,attackerHumanMade
112,80,184,80,-784,72,768,888,88,128,368,120,136,112,520,112,145,72,152,63,-784,72,0,880,0,attackerHumanMade
121,72,168,87,-776,96,368,832,48,160,185,128,193,143,553,79,145,71,152,71,-744,72,0,840,0,attackerHumanMade
121,79,145,79,-1303,87,585,1423,49,151,112,135,96,129,480,104,144,64,160,72,-777,72,0,840,0,attackerHumanMade
120,80,144,80,-1464,80,328,1568,88,144,96,128,168,128,528,120,144,64,160,64,-728,72,0,823,0,attackerHumanMade
112,80,144,80,-744,80,664,824,72,120,72,160,96,136,801,104,136,63,136,72,-1096,64,0,1184,0,attackerHumanMade
112,71,136,80,-1152,80,281,1216,64,127,64,144,81,136,473,111,120,71,137,72,-824,87,0,880,0,attackerHumanMade
124,63,152,69,-760,72,289,807,144,104,77,171,176,104,400,104,145,63,136,64,-664,64,0,711,0,attackerHumanMade
128,64,152,72,-928,80,416,1008,64,136,135,112,504,113,816,104,136,64,136,56,-1056,64,0,1143,0,attackerHumanMade
184,64,176,64,-1232,88,488,1280,64,144,208,104,144,136,553,112,120,71,136,72,-832,72,0,920,0,attackerHumanMade
136,72,216,72,-848,80,360,928,80,128,120,152,96,120,542,96,136,58,120,72,-800,64,0,888,0,attackerHumanMade
120,71,136,72,-1024,80,240,1120,32,128,72,144,104,104,369,96,128,71,136,72,-688,64,0,792,0,attackerHumanMade
137,63,177,71,-712,79,297,768,40,143,105,112,81,119,561,103,155,55,136,62,-871,79,0,959,0,attackerHumanMade
112,80,120,80,-656,80,209,695,16,144,56,152,96,112,736,96,105,87,121,71,-1065,72,0,1152,0,attackerHumanMade
112,72,128,80,-1064,80,241,1119,40,152,80,128,88,112,449,96,136,47,112,80,-705,64,0,793,0,attackerHumanMade
120,64,152,80,-1272,80,280,1320,32,160,72,120,88,120,441,96,120,63,120,80,-720,64,0,800,0,attackerHumanMade
120,71,136,72,-1272,72,281,1328,85,146,88,104,72,120,377,104,128,79,128,72,-672,72,0,752,0,attackerHumanMade
96,88,136,88,-1185,80,281,1232,24,144,64,136,72,128,368,96,128,72,104,72,-655,71,0,752,0,attackerHumanMade
120,72,128,80,-736,80,272,1048,72,128,72,128,80,120,328,104,128,72,128,64,-640,80,0,712,0,attackerHumanMade
120,56,136,80,-688,80,305,767,96,152,56,160,88,136,393,96,112,87,112,80,-672,80,0,784,0,attackerHumanMade
112,80,168,80,-776,80,320,824,48,152,80,120,97,112,481,111,137,71,136,79,-768,80,0,872,0,attackerHumanMade
