@relation helloworld.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute flightTime7 numeric
@attribute dwellTime7 numeric
@attribute flightTime8 numeric
@attribute dwellTime8 numeric
@attribute flightTime9 numeric
@attribute dwellTime9 numeric
@attribute backspaceCount numeric
@attribute class {accepted,denied,attackerHumanMade}

@data
-16,112,32,112,64,88,104,88,24,80,1,104,0,87,16,88,24,80,0,80,0,accepted
16,104,23,89,56,96,80,96,16,88,-8,120,32,120,24,96,24,80,0,88,0,accepted
-8,96,8,112,64,80,80,72,0,104,16,96,16,96,48,88,16,88,0,80,0,accepted
16,145,79,128,55,97,80,89,0,89,8,104,161,95,41,71,55,72,0,49,0,accepted
33,95,7,104,72,64,96,88,0,88,16,88,-16,96,32,88,25,56,0,71,0,accepted
8,88,0,113,72,95,80,80,-16,104,56,88,8,120,48,80,8,80,0,64,0,accepted
56,88,16,120,80,80,96,88,7,120,-8,121,0,96,24,88,8,80,0,96,0,accepted
96,104,87,89,71,105,96,105,24,95,24,96,0,97,32,95,24,64,0,82,0,accepted
8,103,56,112,48,112,96,104,40,96,1,88,32,111,8,96,56,64,0,56,0,accepted
-32,120,8,104,64,96,88,88,8,88,1,112,16,95,40,96,0,80,0,80,0,accepted
-72,168,40,112,56,96,96,80,8,96,8,96,0,112,16,88,0,96,0,104,0,accepted
-40,129,80,112,64,80,88,64,16,80,7,112,0,89,672,56,49,63,0,80,0,accepted
8,103,79,97,65,72,97,71,8,71,8,104,8,88,32,96,16,72,0,80,0,accepted
-32,111,8,112,72,80,95,97,88,96,16,104,-16,112,40,104,48,72,0,80,0,accepted
40,88,24,96,72,72,64,80,8,88,16,104,15,73,24,88,16,72,0,72,0,accepted
-40,120,8,104,64,80,88,72,16,88,16,80,1,88,48,95,8,72,0,80,0,accepted
-32,104,24,112,80,88,104,96,360,88,40,120,-8,95,49,112,48,95,0,73,0,accepted
64,71,40,112,64,80,103,89,73,96,-23,135,40,87,8,88,48,64,0,64,0,accepted
32,96,144,96,80,88,88,89,80,96,24,88,0,96,72,72,40,48,0,64,0,accepted
-16,104,80,112,80,80,96,72,0,88,8,112,-8,88,32,88,16,64,0,48,0,accepted
-16,103,39,113,72,88,80,80,8,96,0,121,16,71,41,88,25,63,0,64,0,accepted
17,87,17,103,47,96,72,88,8,89,15,120,-16,96,49,88,32,71,0,56,0,accepted
-32,120,40,112,56,96,64,72,-8,96,40,96,-24,80,424,56,24,64,0,64,0,accepted
-40,104,56,104,56,88,72,80,32,88,32,112,-8,88,56,96,8,72,0,64,0,accepted
% Denied data: variations of the originals
115,152,118,133,-154,63,117,111,-128,68,-20,75,107,119,-223,58,62,107,0,47,0,denied
-96,57,97,126,301,105,60,54,165,107,-29,68,-90,66,-217,58,-18,42,0,46,0,denied
89,141,111,131,-134,65,117,111,-141,67,-24,72,113,121,-239,56,-21,40,0,40,0,denied
102,147,105,128,-208,58,117,111,180,109,-24,72,-100,64,337,116,-20,40,0,102,0,denied
98,145,117,133,-177,61,59,53,-128,68,-22,73,-75,70,-250,55,55,101,0,39,0,denied
97,144,-56,73,-192,60,114,108,-170,63,55,132,106,119,-181,62,-16,43,0,45,0,denied
-82,63,-42,77,-143,64,110,104,-144,66,-30,67,95,116,299,112,-14,45,0,38,0,denied
115,152,117,133,300,105,60,54,223,114,50,128,124,124,298,112,55,101,0,38,0,denied
-88,60,-68,69,-198,59,60,54,177,108,-21,74,-79,69,344,117,57,103,0,44,0,denied
124,156,102,127,-194,59,111,105,-162,64,-27,69,-79,69,366,119,-16,44,0,40,0,denied
-92,59,-44,77,-173,61,111,105,227,115,58,134,127,125,-173,63,62,107,0,104,0,denied
-95,58,-43,77,333,108,112,106,179,109,60,136,-103,63,-260,54,58,104,0,42,0,denied
-79,64,116,132,-149,64,116,110,178,108,-19,75,118,122,-230,57,-20,40,0,104,0,denied
124,156,104,128,-191,60,54,48,199,111,62,137,-93,65,292,112,-10,48,0,100,0,denied
-73,67,101,127,343,109,60,54,220,114,-28,69,122,123,-174,63,65,109,0,107,0,denied
98,145,121,134,278,103,62,56,186,109,54,131,-93,66,-248,55,-22,39,0,104,0,denied
-96,57,-53,74,273,103,55,49,-124,69,58,134,110,120,-211,59,-17,43,0,46,0,denied
-74,67,-64,70,-165,62,54,48,186,109,-25,71,126,125,311,114,63,108,0,106,0,denied
-79,64,-62,71,350,110,57,51,-176,62,-17,77,128,125,-231,57,64,109,0,102,0,denied
-93,58,108,129,-146,64,60,54,-127,68,53,130,104,118,-186,61,64,109,0,42,0,denied
116,153,107,129,-200,59,60,54,178,108,-18,76,-93,65,336,116,63,108,0,102,0,denied
-98,56,108,130,297,105,54,48,169,107,-29,68,110,120,-258,54,-11,48,0,40,0,denied
123,156,-66,69,342,109,62,56,-163,64,60,136,-84,68,345,117,53,100,0,104,0,denied
-111,50,113,131,273,103,62,56,-144,66,-26,71,-87,67,341,117,58,104,0,46,0,denied
106,148,103,128,337,109,54,48,224,114,54,131,106,119,-188,61,-16,44,0,36,0,denied
88,140,-66,70,-146,64,58,52,164,107,-18,77,-77,70,-163,64,63,108,0,45,0,denied
95,143,-44,77,-184,60,116,110,217,113,-17,77,103,118,-243,55,63,108,0,39,0,denied
-111,50,118,133,279,103,61,55,-149,66,47,126,-104,62,-195,61,57,103,0,96,0,denied
-87,61,121,134,350,110,107,101,205,112,-25,71,-108,61,-198,60,53,99,0,40,0,denied
87,140,-53,74,286,104,113,107,184,109,-18,77,-83,68,367,119,-18,42,0,106,0,denied
-100,55,-67,69,-195,59,115,109,232,115,-29,68,-100,63,322,115,-17,43,0,106,0,denied
-73,67,-40,78,363,111,112,106,196,111,48,126,93,116,-178,62,-8,50,0,46,0,denied
101,146,108,130,302,105,52,46,226,115,-26,70,-73,71,-251,55,53,100,0,38,0,denied
91,141,110,130,-121,66,60,54,-176,62,47,126,97,117,-205,59,58,104,0,106,0,denied
98,145,-62,71,-143,64,115,109,215,113,-23,72,102,118,-167,63,-22,39,0,37,0,denied
-106,52,-45,76,-166,62,115,109,210,113,54,131,123,124,363,119,55,101,0,100,0,denied
-76,66,-55,73,338,109,111,105,-113,70,-30,67,124,124,365,119,54,101,0,102,0,denied
-102,54,-58,72,361,111,111,105,168,107,57,133,-108,62,-227,57,-20,41,0,104,0,denied
-91,59,100,127,-186,60,113,107,-129,68,-32,66,130,126,315,114,58,104,0,43,0,denied
102,146,-54,74,306,106,57,51,218,114,-30,68,102,118,-163,64,57,103,0,105,0,denied
111,150,101,127,-181,60,111,105,-139,67,58,134,-104,62,309,113,-10,49,0,100,0,denied
-104,54,-65,70,360,111,61,55,-151,65,55,132,105,119,322,115,-12,47,0,39,0,denied
-88,61,100,127,337,109,54,48,-114,70,-31,67,105,119,-201,60,-11,48,0,45,0,denied
91,142,-65,70,-134,65,59,53,-113,70,52,129,112,121,271,109,66,110,0,42,0,denied
117,153,-61,71,-129,65,53,47,-116,70,-23,73,-87,67,350,118,-14,46,0,44,0,denied
-75,66,-39,79,-161,62,54,48,219,114,-19,76,-83,68,-235,56,-16,44,0,96,0,denied
-74,67,115,132,-153,63,110,104,-142,67,-29,68,-72,71,-224,57,-18,42,0,41,0,denied
-110,51,119,133,-183,60,59,53,-129,68,-27,70,-91,66,268,109,55,101,0,106,0,denied
116,153,-58,72,-164,62,111,105,205,112,-22,74,126,124,-170,63,-20,40,0,43,0,denied
-85,62,-44,77,-128,65,52,46,-152,65,-25,71,-72,71,296,112,-16,44,0,98,0,denied
95,143,103,128,364,111,55,49,-127,68,-17,77,-73,71,309,113,64,109,0,42,0,denied
97,144,-53,74,305,106,114,108,166,107,-27,70,95,116,-161,64,58,104,0,98,0,denied
105,148,94,125,361,111,54,48,198,111,48,127,115,122,-172,63,58,104,0,107,0,denied
-85,62,119,133,288,104,52,46,-167,63,55,132,-97,64,-228,57,-11,47,0,42,0,denied
-108,52,100,127,-143,64,59,53,166,107,-19,75,-104,63,-179,62,62,107,0,37,0,denied
-90,60,109,130,-202,59,116,110,229,115,60,136,101,118,-172,63,52,99,0,42,0,denied
-102,54,-51,75,312,106,107,101,-115,70,-26,70,-73,71,-186,61,-11,48,0,107,0,denied
92,142,122,134,-139,64,113,107,-135,67,-30,68,-85,68,-258,54,-11,48,0,102,0,denied
-90,60,105,129,-169,62,115,109,-178,62,-17,77,127,125,357,118,-20,41,0,98,0,denied
-85,62,-54,73,-121,66,58,52,188,110,48,126,-85,68,-230,57,55,101,0,47,0,denied
104,147,-47,76,-154,63,55,49,-112,70,47,126,-99,64,365,119,-22,39,0,41,0,denied
87,140,-67,69,309,106,115,109,179,109,-20,75,-111,61,-224,57,52,99,0,100,0,denied
107,149,-49,75,-177,61,59,53,215,113,-21,74,-106,62,350,118,-17,43,0,41,0,denied
109,150,-58,72,324,107,59,53,-123,69,47,126,-107,62,-194,61,66,110,0,98,0,denied
96,144,122,134,304,106,53,47,-160,64,-27,70,-72,71,-168,63,-13,46,0,106,0,denied
88,140,-42,78,-122,66,110,104,169,107,49,127,-82,68,-207,59,-14,45,0,100,0,denied
115,152,-65,70,346,109,53,47,181,109,62,137,117,122,-195,60,-14,45,0,40,0,denied
-90,60,-43,77,-201,59,116,110,188,110,-18,76,-109,61,-196,60,52,99,0,42,0,denied
-85,62,107,129,288,104,55,49,-136,67,53,130,109,120,295,112,66,110,0,98,0,denied
116,153,117,133,-126,66,116,110,-131,68,-23,73,124,124,-251,55,-13,46,0,39,0,denied
-91,59,108,130,-207,58,55,49,-122,69,57,133,123,124,296,112,62,107,0,44,0,denied
-94,58,-67,69,-144,64,62,56,179,109,61,136,-111,61,-192,61,-17,43,0,43,0,denied
102,146,95,125,324,107,116,110,214,113,-25,71,103,118,-230,57,-22,39,0,47,0,denied
-91,59,-41,78,276,103,54,48,-150,66,-24,72,-76,70,312,114,-20,40,0,45,0,denied
106,148,120,134,284,104,54,48,167,107,58,134,107,120,-247,55,54,100,0,100,0,denied
-83,63,115,132,-165,62,109,103,215,113,-29,68,-107,62,-253,54,-18,42,0,42,0,denied
-108,51,91,124,333,108,110,104,189,110,-22,73,-108,61,336,116,-12,47,0,105,0,denied
-100,55,-48,76,-189,60,57,51,-168,63,52,130,-88,67,364,119,-15,44,0,100,0,denied
-106,52,98,126,310,106,117,111,-155,65,-24,72,120,123,-234,56,59,105,0,44,0,denied
118,154,92,124,337,109,55,49,-143,66,-22,73,-71,71,-222,58,-16,44,0,104,0,denied
-82,63,-52,74,-170,62,55,49,-126,69,49,127,115,122,350,118,-11,48,0,97,0,denied
-109,51,115,132,286,104,54,48,-141,67,56,133,-80,69,288,111,-18,42,0,100,0,denied
-95,57,-59,72,-160,62,61,55,-131,68,-18,76,-74,71,-238,56,-16,44,0,43,0,denied
-97,57,-49,75,-195,59,59,53,206,112,-32,66,-89,66,-215,58,66,110,0,47,0,denied
93,142,94,125,332,108,59,53,168,107,55,132,121,123,346,117,-10,49,0,37,0,denied
88,140,98,126,340,109,56,50,179,109,-29,68,129,125,-164,64,-10,49,0,37,0,denied
-85,62,-60,71,-183,60,116,110,190,110,-24,72,-107,62,363,119,64,109,0,106,0,denied
100,145,108,129,314,107,62,56,225,114,-25,71,102,118,-224,57,61,106,0,96,0,denied
-109,51,122,134,349,110,107,101,-142,66,-18,76,110,120,367,119,-12,47,0,107,0,denied
-111,50,-41,78,302,105,57,51,-118,70,49,128,111,120,-192,61,58,104,0,45,0,denied
106,148,121,134,345,109,107,101,-132,68,-18,77,96,116,-237,56,54,101,0,46,0,denied
126,157,-67,69,331,108,107,101,-140,67,60,136,98,117,-245,55,-13,46,0,39,0,denied
122,155,-67,69,-185,60,59,53,212,113,-18,77,100,117,-209,59,-13,46,0,40,0,denied
122,155,104,128,-178,61,58,52,216,113,49,127,-104,63,-209,59,-14,45,0,98,0,denied
-100,55,100,127,311,106,54,48,-160,64,-17,77,-71,71,-198,60,60,106,0,37,0,denied
92,142,-38,79,-140,64,115,109,-127,68,-20,75,96,116,-185,61,53,99,0,43,0,denied
-90,60,-64,70,-205,58,57,51,-132,68,-27,69,128,125,-171,63,-8,50,0,42,0,denied
112,151,-39,79,-162,62,111,105,180,109,56,132,100,118,-176,62,-14,46,0,96,0,denied
-100,55,-39,79,-145,64,107,101,216,113,-18,77,129,125,-159,64,-14,45,0,96,0,denied
109,150,100,127,-143,64,115,109,-142,67,57,134,94,116,299,112,62,107,0,46,0,denied
%Attacker Human made data
48,135,72,112,73,79,185,104,112,63,24,128,65,88,25,127,16,119,0,160,0,attackerHumanMade
-15,118,47,97,64,72,96,81,81,71,17,103,497,95,16,159,24,97,0,143,0,attackerHumanMade
16,88,48,103,64,72,104,80,200,96,56,152,233,120,17,151,24,104,0,159,0,attackerHumanMade
15,98,40,95,64,65,97,87,226,86,17,119,16,96,26,118,16,96,0,175,0,attackerHumanMade
-23,110,25,128,81,47,96,80,136,103,144,200,24,88,-14,151,24,103,0,176,0,attackerHumanMade
-15,118,40,128,57,64,121,103,218,78,25,95,-22,95,25,118,-40,127,0,169,0,attackerHumanMade
24,112,16,104,65,71,129,87,33,103,41,135,128,159,113,208,25,95,0,166,0,attackerHumanMade
215,89,80,136,73,64,112,87,113,80,137,135,242,167,58,166,23,103,0,177,0,attackerHumanMade
-14,121,24,135,80,64,111,96,96,96,-16,129,104,119,17,168,40,87,0,177,0,attackerHumanMade
-25,137,33,127,72,71,120,72,105,56,-23,159,24,95,25,128,32,63,0,168,0,attackerHumanMade
33,79,25,111,81,47,129,79,96,96,64,175,16,88,-15,136,24,95,0,161,0,attackerHumanMade
-24,119,24,136,56,71,121,96,113,103,25,102,25,80,20,99,17,80,0,168,0,attackerHumanMade
17,120,40,111,64,72,121,79,145,71,-16,104,15,96,25,95,25,72,0,167,0,attackerHumanMade
-15,104,33,127,49,79,136,63,56,81,104,153,17,94,24,111,25,72,0,151,0,attackerHumanMade
-16,113,32,120,96,72,121,88,32,63,24,120,24,71,24,105,24,63,0,169,0,attackerHumanMade
25,119,33,111,79,64,113,80,15,80,24,112,-15,64,24,120,17,80,0,142,0,attackerHumanMade
24,120,49,104,73,71,127,95,49,64,-15,119,17,79,-23,127,32,87,0,160,0,attackerHumanMade
-32,127,25,128,79,71,129,80,64,87,16,97,32,71,-23,136,49,87,0,151,0,attackerHumanMade
23,97,25,111,57,71,120,88,58,87,25,111,24,63,26,95,41,55,0,174,0,attackerHumanMade
17,127,56,86,63,74,122,87,33,95,25,134,25,71,-24,120,33,87,0,160,0,attackerHumanMade
-16,119,55,120,65,64,121,72,32,63,20,104,16,52,16,104,41,55,0,153,0,attackerHumanMade
17,112,40,104,72,71,137,65,56,79,-15,119,-23,87,41,119,17,71,0,152,0,attackerHumanMade
-14,126,16,127,57,72,130,87,80,78,-24,105,18,94,24,111,41,71,0,159,0,attackerHumanMade
24,95,48,96,64,64,129,72,24,63,-15,128,-16,95,24,112,40,56,0,169,0,attackerHumanMade
25,110,24,112,50,79,120,95,25,95,-15,111,-17,96,16,121,24,88,0,152,0,attackerHumanMade
16,113,41,103,66,71,120,94,56,64,-24,112,25,88,-16,119,64,72,0,152,0,attackerHumanMade
25,102,25,119,72,63,112,96,25,79,16,112,24,72,25,104,33,63,0,167,0,attackerHumanMade
32,95,47,112,64,65,128,80,32,72,-16,128,17,71,-14,128,49,78,0,159,0,attackerHumanMade
24,96,33,111,73,62,112,73,24,63,-14,112,-23,102,16,111,34,72,0,150,0,attackerHumanMade
24,112,23,120,65,72,129,71,25,64,-25,111,17,96,-15,103,34,94,0,167,0,attackerHumanMade
592,119,72,112,89,80,97,71,136,95,-39,176,-48,119,1649,144,-15,87,0,135,2,attackerHumanMade
17,103,32,119,72,65,96,72,17,87,585,119,-16,88,232,120,-15,119,0,135,0,attackerHumanMade
16,112,24,96,72,64,88,72,264,96,-80,184,-24,104,208,152,-1,113,0,144,0,attackerHumanMade
-1,89,17,127,72,80,88,64,176,96,-39,175,-7,103,8,128,16,104,0,128,0,attackerHumanMade
-26,114,32,128,80,64,80,80,176,104,-48,208,0,128,16,120,80,112,0,128,0,attackerHumanMade
-8,112,32,128,88,64,99,64,-16,109,1376,104,-40,96,32,128,-8,104,0,136,3,attackerHumanMade
-1,89,24,112,80,80,80,64,-8,120,1376,112,577,120,-8,127,24,96,0,136,3,attackerHumanMade
24,96,24,120,82,64,81,78,1,104,456,94,16,80,80,128,8,144,0,144,0,attackerHumanMade
-7,103,8,143,80,80,89,64,17,111,1328,80,-39,103,33,127,0,72,0,144,3,attackerHumanMade
15,112,56,121,73,71,89,71,24,112,344,88,104,104,248,112,8,96,0,152,0,attackerHumanMade
-40,120,41,127,81,55,88,80,192,96,16,160,-31,111,32,152,345,47,0,207,1,attackerHumanMade
1120,128,88,144,80,72,72,64,-16,136,224,104,1112,72,-8,120,48,88,0,136,3,attackerHumanMade
24,120,48,104,89,72,80,71,960,104,-48,152,0,88,-1,129,16,104,0,136,1,attackerHumanMade
-8,120,40,96,80,64,74,86,-24,104,432,136,16,96,-32,136,48,112,0,144,0,attackerHumanMade
-8,119,48,96,80,72,64,104,8,120,112,144,24,112,88,112,24,112,0,112,0,attackerHumanMade
8,103,16,112,32,96,793,96,361,111,-31,175,48,87,8,112,40,112,0,144,1,attackerHumanMade
0,96,47,96,81,56,73,87,-15,119,496,136,48,96,-15,127,40,96,0,135,0,attackerHumanMade
1136,104,56,120,72,88,72,72,168,120,-72,200,-39,103,32,152,-15,103,0,144,3,attackerHumanMade
8,112,40,96,88,72,88,64,-8,104,600,72,1240,88,-16,128,8,96,0,120,3,attackerHumanMade
1024,120,112,136,96,72,176,64,344,128,-56,176,-16,88,8,128,-8,104,0,136,3,attackerHumanMade
-8,104,48,128,80,56,73,88,264,119,-79,184,0,103,8,112,-1,97,0,144,0,attackerHumanMade
1009,111,64,135,81,80,96,55,256,104,-63,176,-15,111,8,111,-8,96,0,136,3,attackerHumanMade
992,119,48,104,97,72,81,47,49,111,489,103,25,111,7,120,32,88,0,120,3,attackerHumanMade
824,112,56,120,94,74,64,56,480,96,-39,167,-25,97,25,111,-23,111,0,136,2,attackerHumanMade
-24,112,39,113,72,72,88,96,216,112,-39,143,-16,104,16,120,-7,103,0,128,0,attackerHumanMade
