@relation we707.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute backspaceCount numeric
@attribute class {accepted,denied,attackerHumanMade}

@data
-88,160,424,104,-40,120,-23,151,0,96,0,accepted
-105,153,264,137,-7,119,-8,119,0,104,0,accepted
-121,169,248,136,-24,128,-24,144,0,97,0,accepted
-96,168,216,136,-16,112,-32,136,0,88,0,accepted
-72,136,232,136,-8,128,-33,137,0,104,0,accepted
-96,128,480,128,-40,120,8,144,0,64,0,accepted
-96,176,264,112,24,200,584,152,0,56,0,accepted
-112,184,168,135,-24,145,-24,128,0,104,0,accepted
-96,161,544,127,-8,136,-31,120,0,103,0,accepted
-80,152,368,120,-16,128,-32,136,0,72,0,accepted
-96,160,312,128,-32,176,-16,104,0,96,0,accepted
-104,175,440,144,-32,160,-16,128,0,88,0,accepted
-121,185,255,121,-8,97,-32,120,0,88,0,accepted
-119,167,224,127,-31,120,-24,128,0,96,0,accepted
-72,143,48,112,-32,160,-8,120,0,96,0,accepted
-72,152,393,112,-32,135,-32,128,0,88,0,accepted
-64,137,512,88,-8,128,-7,103,0,80,0,accepted
-88,136,176,128,39,120,-35,147,0,97,0,accepted
% Denied data: variations of the originals
-187,104,-431,81,101,247,-248,85,0,124,0,denied
10,206,1235,152,93,239,-209,92,0,126,0,denied
-189,103,-560,75,75,220,231,165,0,118,0,denied
-196,100,1261,153,68,213,231,165,0,56,0,denied
33,218,1179,150,89,235,210,162,0,121,0,denied
-171,113,1112,147,101,247,215,162,0,58,0,denied
-196,100,-415,82,-118,22,204,161,0,55,0,denied
-164,116,1284,154,-120,19,179,156,0,58,0,denied
-181,107,1271,154,101,247,-247,85,0,59,0,denied
-185,106,1126,148,76,221,190,158,0,121,0,denied
-190,103,1221,152,-107,32,168,155,0,56,0,denied
-185,105,-528,77,77,223,-183,96,0,122,0,denied
-165,116,-426,81,-95,44,-216,90,0,116,0,denied
7,204,1037,144,-105,34,206,161,0,65,0,denied
24,213,-492,78,-113,26,-232,88,0,66,0,denied
7,204,1263,154,92,237,-180,96,0,65,0,denied
30,216,1319,156,72,218,-250,85,0,56,0,denied
-196,100,1166,149,69,214,-218,90,0,123,0,denied
-170,113,-312,86,97,243,-180,96,0,65,0,denied
-2,199,1186,150,-93,47,168,155,0,65,0,denied
25,214,1243,153,83,228,-227,89,0,116,0,denied
6,204,-315,86,-97,43,190,158,0,61,0,denied
-183,107,1230,152,-113,26,207,161,0,59,0,denied
-195,100,1057,145,82,227,231,165,0,121,0,denied
6,204,-462,80,-106,34,244,167,0,58,0,denied
16,209,-394,83,-121,18,-235,87,0,59,0,denied
32,217,1136,148,-109,30,-181,96,0,55,0,denied
0,200,-483,79,-108,32,-237,87,0,57,0,denied
20,211,-464,80,87,233,-203,93,0,125,0,denied
10,206,1099,147,-110,29,183,157,0,124,0,denied
-164,116,-590,74,-119,20,-214,91,0,120,0,denied
-168,114,-310,86,81,227,233,165,0,123,0,denied
-181,107,1111,147,-85,55,-178,97,0,61,0,denied
7,205,1239,153,-117,22,249,168,0,65,0,denied
17,209,1180,150,91,237,182,157,0,123,0,denied
5,203,-433,81,87,232,-245,86,0,120,0,denied
-195,100,-467,79,105,251,-190,95,0,116,0,denied
27,215,-603,74,82,227,170,155,0,58,0,denied
32,217,1268,154,-121,18,-212,91,0,56,0,denied
32,217,1160,149,-91,48,224,164,0,118,0,denied
19,211,-320,86,79,224,228,165,0,126,0,denied
12,207,-491,78,75,220,239,166,0,116,0,denied
7,204,-529,77,-115,24,-208,92,0,55,0,denied
-184,106,1106,147,86,231,231,165,0,125,0,denied
-172,112,1126,148,-116,23,204,161,0,60,0,denied
3,202,1312,156,-116,23,186,158,0,65,0,denied
4,203,1320,156,101,247,196,159,0,65,0,denied
33,218,-599,74,-92,48,-243,86,0,120,0,denied
13,208,-381,83,-112,28,196,159,0,125,0,denied
19,211,-444,80,80,226,-203,93,0,57,0,denied
-183,107,1217,152,-115,24,246,168,0,56,0,denied
27,214,1140,148,-110,29,-246,85,0,65,0,denied
-180,108,-422,81,79,225,-204,92,0,120,0,denied
-179,109,-435,81,85,230,182,157,0,62,0,denied
11,206,1156,149,69,214,170,155,0,57,0,denied
9,205,1273,154,-86,54,-218,90,0,55,0,denied
20,211,-320,86,-116,23,240,167,0,126,0,denied
21,212,-531,77,96,241,-205,92,0,123,0,denied
-183,106,-559,75,-117,22,-230,88,0,60,0,denied
-182,107,-349,84,-87,53,-182,96,0,118,0,denied
21,212,1148,149,73,218,207,161,0,63,0,denied
2,202,-495,78,-108,32,191,158,0,56,0,denied
-193,101,-295,87,-119,21,-223,89,0,57,0,denied
-184,106,-357,84,94,240,-238,87,0,115,0,denied
-184,106,-302,86,72,217,-173,98,0,120,0,denied
10,206,1127,148,71,216,-239,87,0,59,0,denied
-172,112,1318,156,81,226,-234,87,0,118,0,denied
-197,99,-436,81,-85,55,191,158,0,119,0,denied
-169,114,1284,154,-103,37,228,165,0,116,0,denied
33,218,-338,85,-84,55,221,163,0,56,0,denied
24,213,-386,83,-120,19,204,161,0,55,0,denied
27,215,-550,76,-84,56,-177,97,0,117,0,denied
12,207,-487,79,-108,31,-184,96,0,122,0,denied
17,210,-336,85,-105,35,-219,90,0,55,0,denied
-166,115,-590,74,103,249,245,167,0,118,0,denied
-191,103,1238,152,-119,20,193,159,0,58,0,denied
15,208,-340,85,-89,51,-214,91,0,119,0,denied
31,217,1231,152,-113,26,-243,86,0,123,0,denied
7,204,1175,150,-109,30,232,165,0,55,0,denied
-191,102,-358,84,71,216,237,166,0,118,0,denied
-183,106,1076,146,101,247,251,168,0,124,0,denied
-163,117,1277,154,-121,18,-206,92,0,65,0,denied
-1,200,1075,145,-88,51,237,166,0,125,0,denied
11,206,-498,78,85,231,201,160,0,55,0,denied
-175,111,1041,144,98,244,-179,97,0,124,0,denied
-166,115,1085,146,100,246,193,159,0,124,0,denied
21,212,1246,153,-115,24,-247,85,0,58,0,denied
27,215,-403,82,-107,32,236,166,0,61,0,denied
-182,107,1105,147,83,228,-203,93,0,59,0,denied
-165,116,1092,146,-91,49,212,162,0,122,0,denied
29,216,-458,80,-95,45,203,160,0,119,0,denied
-194,101,1075,146,99,245,-245,86,0,118,0,denied
26,214,1266,154,84,229,199,160,0,125,0,denied
3,202,-355,84,103,249,215,162,0,60,0,denied
-175,110,-472,79,88,233,216,163,0,55,0,denied
0,200,-507,78,69,214,199,160,0,55,0,denied
-198,99,-512,78,73,218,201,160,0,59,0,denied
33,218,-565,75,-114,25,244,167,0,124,0,denied
6,204,1208,151,70,215,242,167,0,119,0,denied
23,213,-518,77,-115,24,238,166,0,115,0,denied
%Attacker Human made data
-55,168,160,152,-23,127,-24,104,0,88,0,attackerHumanMade
-48,151,103,153,-15,90,-15,94,0,46,0,attackerHumanMade
-47,153,138,150,-24,95,-23,103,0,47,0,attackerHumanMade
-64,143,80,153,64,56,-16,80,0,56,0,attackerHumanMade
-57,153,168,153,-15,96,-15,94,0,39,0,attackerHumanMade
-73,152,191,153,66,63,-24,79,0,49,0,attackerHumanMade
-71,151,113,159,56,48,-24,80,0,56,0,attackerHumanMade
-62,135,120,143,72,64,-14,79,0,62,0,attackerHumanMade
-56,152,130,128,105,22,-17,79,0,81,0,attackerHumanMade
-55,143,112,152,64,56,-24,80,0,40,0,attackerHumanMade
-47,126,145,144,-23,87,-24,103,0,48,0,attackerHumanMade
-47,142,128,144,57,64,-22,79,0,54,0,attackerHumanMade
-47,134,136,143,57,48,-17,80,0,40,0,attackerHumanMade
-56,135,97,136,56,40,-16,87,0,56,0,attackerHumanMade
-55,144,81,126,89,40,-57,111,0,72,0,attackerHumanMade
-48,127,80,121,64,40,-23,80,0,55,0,attackerHumanMade
-39,135,81,136,-24,103,-23,104,0,39,0,attackerHumanMade
-56,143,81,96,72,47,-23,80,0,39,0,attackerHumanMade
-47,127,83,95,57,55,-23,78,0,56,0,attackerHumanMade
-47,151,81,127,64,39,-25,82,0,55,0,attackerHumanMade
-56,120,81,111,57,80,-15,79,0,56,0,attackerHumanMade
-47,127,81,119,56,55,-15,80,0,39,0,attackerHumanMade
-56,136,80,144,-23,104,-24,102,0,48,0,attackerHumanMade
-47,143,81,111,64,39,-24,81,0,39,0,attackerHumanMade
-56,128,81,111,55,80,-24,81,0,39,0,attackerHumanMade
-63,135,71,145,57,47,-15,79,0,39,0,attackerHumanMade
-56,143,82,120,56,63,-22,79,0,55,0,attackerHumanMade
-47,127,80,144,66,39,-16,78,0,40,0,attackerHumanMade
-47,142,159,136,-15,120,-16,96,0,47,0,attackerHumanMade
-56,136,105,144,64,30,-15,73,0,39,0,attackerHumanMade
