@relation qwe123.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute backspaceCount numeric
@attribute class {accepted,denied}

@data
-19,213,-176,87,-51,82,-146,91,58,194,0,71,0,denied
-146,86,44,199,387,165,-160,77,-163,94,0,159,0,denied
-143,89,59,207,-120,69,-8,229,-160,95,0,157,0,denied
-16,216,44,200,-107,71,-145,92,54,192,0,175,0,denied
-11,221,55,205,-111,70,-28,209,62,195,0,79,0,denied
-154,78,44,200,369,162,-26,211,-177,88,0,65,0,denied
-146,86,-155,97,402,168,-25,212,-152,99,0,161,0,denied
-153,79,58,207,452,178,-147,90,-177,88,0,158,0,denied
-8,224,34,194,454,178,-15,222,-161,95,0,166,0,denied
-140,92,-156,96,-135,66,-160,77,-180,87,0,62,0,denied
-24,208,41,198,-126,68,-7,230,-161,95,0,79,0,denied
-13,219,31,193,-41,84,-160,77,-177,88,0,163,0,denied
-19,213,41,198,459,179,-146,91,-153,99,0,169,0,denied
-159,73,-180,84,432,174,-25,212,91,208,0,173,0,denied
-137,95,21,188,-113,70,-141,96,46,188,0,167,0,denied
-15,217,-163,93,424,172,-4,233,-148,101,0,79,0,denied
-145,87,35,195,391,166,-157,80,-174,90,0,80,0,denied
-153,79,35,195,370,162,-17,220,-144,103,0,173,0,denied
-150,82,33,194,398,167,-139,98,55,192,0,69,0,denied
-133,99,-180,84,-57,81,-5,232,91,208,0,171,0,denied
-20,212,-158,95,-107,71,-157,80,59,194,0,168,0,denied
-147,85,-158,96,415,171,-153,84,-166,93,0,79,0,denied
-2,230,52,204,375,163,-139,98,73,200,0,65,0,denied
-137,95,-178,85,430,173,-159,78,-163,95,0,174,0,denied
-157,75,49,202,441,176,-14,223,56,193,0,66,0,denied
-156,76,-154,98,460,179,-28,209,-157,97,0,75,0,denied
-144,88,-171,89,-42,84,-152,85,71,199,0,74,0,denied
-136,96,-155,97,448,177,-9,228,-173,90,0,70,0,denied
-21,211,57,206,364,161,-160,77,60,195,0,159,0,denied
-152,80,25,190,439,175,-151,86,-184,85,0,73,0,denied
-148,84,-185,82,-75,77,-20,217,-174,90,0,77,0,denied
-148,84,33,194,-108,71,-11,226,-188,83,0,66,0,denied
-3,229,-156,96,368,162,-165,72,63,196,0,168,0,denied
-13,219,-157,96,442,176,-139,98,87,206,0,73,0,denied
-23,209,30,192,-59,80,-145,92,72,200,0,157,0,denied
-135,97,31,193,444,176,-6,231,-161,95,0,69,0,denied
-7,225,57,206,416,171,-29,208,68,198,0,163,0,denied
-15,217,48,201,-132,67,-29,208,-156,97,0,79,0,denied
-133,99,-146,102,-69,78,-17,220,84,205,0,77,0,denied
-140,92,44,199,418,171,-141,96,46,188,0,69,0,denied
-147,85,-159,95,-83,76,-23,214,70,199,0,73,0,denied
-7,225,47,201,422,172,-17,220,-158,97,0,77,0,denied
-10,222,-175,87,373,163,-145,92,-158,97,0,159,0,denied
-16,216,25,190,-65,79,-165,72,-169,92,0,63,0,denied
-138,94,27,191,422,172,-162,75,-156,97,0,169,0,denied
-144,88,-183,83,-136,66,-148,89,-151,100,0,158,0,denied
-149,83,-163,93,371,162,-160,77,77,202,0,79,0,denied
-16,216,-170,89,-111,71,-163,74,83,204,0,75,0,denied
-11,221,-181,84,-137,66,-147,90,-181,86,0,79,0,denied
-150,82,39,197,391,166,-143,94,-163,94,0,80,0,denied
-151,81,30,192,-120,69,-159,78,85,205,0,73,0,denied
-136,96,-147,101,-38,84,-150,87,57,193,0,64,0,denied
0,232,36,196,456,179,-7,230,58,194,0,157,0,denied
-140,92,59,207,-39,84,-9,228,62,195,0,162,0,denied
-2,230,-182,83,397,167,-147,90,56,193,0,166,0,denied
-150,82,55,205,365,161,-28,209,69,198,0,80,0,denied
-2,230,34,194,-80,76,-19,218,46,188,0,62,0,denied
-21,211,-152,99,364,161,-146,91,-173,90,0,77,0,denied
-136,96,53,204,-117,69,-26,211,63,196,0,66,0,denied
-133,99,-165,92,434,174,-20,217,62,195,0,173,0,denied
-23,209,33,194,451,178,-154,83,70,199,0,72,0,denied
-20,212,27,191,375,163,-17,220,56,193,0,168,0,denied
-12,220,58,207,374,163,-24,213,57,193,0,71,0,denied
-157,75,58,206,-85,75,-11,226,65,197,0,173,0,denied
-11,221,-148,101,-91,74,-28,209,48,189,0,164,0,denied
